ÈÕÆÚ,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH
2014/2/11,-0.1131,1.5025,0.9259,-3.1167,,-0.9752,0.2137,-0.4454,,,,,,,0.6035,1.8977,1.0229,7.0927,,1.4125,0.394,0.4171,,,,,,,1300714064,3664271393,1918286287,933803000,,3989541600,6843648000,45222526461,,,,,,,117.7963,-25.4759,-19.5859,51.7327,,48.4118,16.2323,14.9033,,,,,,,4.7567,3.9287,4.4152,3.7329,,1.8759,1.1511,1.6876,,,,,,,8.8054,2.6814,1.5562,14.9868,,1.9567,0.086,0.6303,,,,,,
2014/2/12,1.5855,1.2336,0.3058,0.7284,,0.6061,1.2793,0.4474,,,,,,,0.9671,1.3105,0.6886,3.6506,,1.1125,0.4909,0.3281,,,,,,,1321336937,3709472109,1924152606,940604600,,4013720640,6931200000,45424864387,,,,,,,119.664,-25.7902,-19.6458,52.1095,,48.7052,16.44,14.97,,,,,,,4.8321,3.9771,4.4287,3.7601,,1.8873,1.1658,1.6952,,,,,,,8.9451,2.7145,1.5609,15.096,,1.9686,0.0871,0.6331,,,,,,
2014/2/13,-1.5608,-1.4622,-1.2195,-4.9714,,-1.3554,-1.6842,-2.8953,,,,,,,0.6668,0.7684,0.5646,4.6199,,1.6863,0.368,0.5498,,,,,,,1300714064,3655231250,1900687330,893843600,,3959317800,6814464000,44109667868,,,,,,,117.7963,-25.4131,-19.4062,49.5189,,48.045,16.1631,14.5366,,,,,,,4.7567,3.919,4.3747,3.5731,,1.8617,1.1462,1.6461,,,,,,,8.8054,2.6748,1.5419,14.3455,,1.9419,0.0856,0.6148,,,,,,
2014/2/14,1.9253,1.4015,1.5432,2.4096,,3.1298,2.5696,1.8349,,,,,,,0.7782,0.8969,0.6256,5.7229,,1.9515,0.574,0.6063,,,,,,,1325756124,3706458728,1930018925,915382000,,4083235380,6989568000,44919019572,,,,,,,120.0642,-25.7692,-19.7057,50.7122,,49.5487,16.5784,14.8033,,,,,,,4.8483,3.9739,4.4422,3.6592,,1.92,1.1757,1.6763,,,,,,,8.975,2.7123,1.5657,14.6912,,2.0027,0.0878,0.6261,,,,,,
2014/2/17,4.1111,0.4878,0.9119,-0.4954,,0,-0.2088,0,,,,,,,1.6872,1.341,0.829,6.3988,,1.6295,0.496,0.5849,,,,,,,1380259431,3724539015,1947617881,910847600,,4083235380,6974976000,44919019572,,,,,,,125.0001,-25.8949,-19.8854,50.4609,,49.5487,16.5438,14.8033,,,,,,,5.0476,3.9933,4.4827,3.6411,,1.92,1.1732,1.6763,,,,,,,9.3439,2.7255,1.5799,14.6184,,2.0027,0.0877,0.6261,,,,,,
2014/2/18,-1.4941,0.3236,3.3133,0.9334,,-2.3686,-1.6736,-1.8018,,,,,,,0.8679,1.1115,1.2065,4.6457,,1.8761,0.4003,0.4066,,,,,,,1359636558,3736592539,2012147390,919349600,,3986519220,6858240000,44109667868,,,,,,,123.1325,-25.9787,-20.5443,50.932,,48.3751,16.2669,14.5366,,,,,,,4.9722,4.0062,4.6312,3.6751,,1.8745,1.1536,1.6461,,,,,,,9.2043,2.7343,1.6323,14.7549,,1.9552,0.0862,0.6148,,,,,,
2014/2/19,1.6251,8.871,1.1662,-0.6473,,1.6679,1.0638,0.6881,,,,,,,0.9366,2.2611,1.767,3.5542,,2.1867,0.3467,0.4307,,,,,,,1381732494,4068064458,2035612665,913398200,,4053011580,6931200000,44413174757,,,,,,,125.1335,-28.2833,-20.7838,50.6023,,49.1819,16.44,14.6366,,,,,,,5.053,4.3616,4.6852,3.6513,,1.9058,1.1658,1.6574,,,,,,,9.3539,2.9769,1.6513,14.6594,,1.9878,0.0871,0.619,,,,,,
2014/2/20,-0.533,-4,3.17,-3.9094,,4.0268,2.9474,1.139,,,,,,,1.0996,1.4523,3.0307,4.2434,,5.5986,1.174,0.8224,,,,,,,1374367182,3905341880,2100142173,877689800,,4216220100,7135488000,44919019572,,,,,,,124.4665,-27.152,-21.4427,48.624,,51.1624,16.9245,14.8033,,,,,,,5.0261,4.1871,4.8337,3.5086,,1.9825,1.2002,1.6763,,,,,,,9.3041,2.8578,1.7037,14.0863,,2.0679,0.0897,0.6261,,,,,,
2014/2/21,5.7878,0.6944,-1.9553,0.0969,,-0.9319,-1.8405,-0.9009,,,,,,,2.3085,1.4081,1.3301,3.2072,,2.8119,0.9532,0.4528,,,,,,,1453912549,3932462309,2059077941,878540000,,4176929160,7004160000,44514343720,,,,,,,131.6704,-27.3405,-21.0234,48.6711,,50.6856,16.613,14.67,,,,,,,5.3169,4.2162,4.7392,3.512,,1.964,1.1781,1.6612,,,,,,,9.8426,2.8777,1.6704,14.0999,,2.0486,0.088,0.6204,,,,,,
2014/2/24,-2.229,-1.3027,-2.849,2.8065,,-3.9074,-2.0833,-4.0909,,,,,,,1.7349,1.1815,1.1742,4.1313,,2.1401,0.5732,0.6099,,,,,,,1421505177,3881234831,2000414752,903195800,,4013720640,6858240000,42693302386,,,,,,,128.7355,-26.9844,-20.4245,50.037,,48.7052,16.2669,14.0698,,,,,,,5.1984,4.1613,4.6042,3.6105,,1.8873,1.1536,1.5932,,,,,,,9.6232,2.8402,1.6228,14.4956,,1.9686,0.0862,0.5951,,,,,,
2014/2/25,-3.8342,-1.087,-3.8123,-10.0094,,-5.3464,-0.2128,-1.4218,,,,,,,1.53,1.8539,0.9445,6.1491,,2.366,0.6548,0.5619,,,,,,,1367001870,3839047496,1924152606,812791200,,3799131660,6843648000,42086288608,,,,,,,123.7995,-26.6911,-19.6458,45.0286,,46.1012,16.2323,13.8698,,,,,,,4.9991,4.1161,4.4287,3.2491,,1.7864,1.1511,1.5706,,,,,,,9.2542,2.8093,1.5609,13.0447,,1.8633,0.086,0.5866,,,,,,
2014/2/26,-0.6466,-0.314,2.1341,-4.2538,,1.5115,-1.7058,-0.9615,,,,,,,0.7909,1.3934,0.6536,5.1572,,1.4275,0.4944,0.4559,,,,,,,1358163496,3826993972,1965216838,778216400,,3856556880,6726912000,41681612756,,,,,,,122.9991,-26.6073,-20.0651,43.1132,,46.798,15.9554,13.7364,,,,,,,4.9668,4.1031,4.5232,3.1109,,1.8134,1.1315,1.5555,,,,,,,9.1944,2.8005,1.5942,12.4898,,1.8915,0.0845,0.581,,,,,,
2014/2/27,5.2061,-4.8031,-0.8955,-4.2243,,-1.8025,0,1.9417,,,,,,,1.4072,1.2046,0.6095,4.1131,,1.4426,0.459,0.8179,,,,,,,1428870489,3643177726,1947617881,745342000,,3787042140,6726912000,42490964460,,,,,,,129.4025,-25.3293,-19.8854,41.2919,,45.9545,15.9554,14.0031,,,,,,,5.2254,3.9061,4.4827,2.9795,,1.7807,1.1315,1.5857,,,,,,,9.673,2.666,1.5799,11.9622,,1.8574,0.0845,0.5922,,,,,,
2014/2/28,-0.9278,2.3987,1.2048,1.7871,,-0.4789,0,-0.7143,,,,,,,1.2895,0.6543,0.5932,2.2544,,0.9487,0.4042,0.4502,,,,,,,1415612928,3730565777,1971083157,758661800,,3768907860,6726912000,42187457571,,,,,,,128.2018,-25.9368,-20.125,42.0299,,45.7344,15.9554,13.9031,,,,,,,5.1769,3.9998,4.5367,3.0328,,1.7722,1.1315,1.5744,,,,,,,9.5833,2.7299,1.599,12.176,,1.8485,0.0845,0.588,,,,,,
2014/3/3,1.0406,4.6042,2.9762,4.1838,,2.5662,0.8677,1.6787,,,,,,,1.2186,1.1403,0.7359,4.0683,,1.0048,0.3769,0.6028,,,,,,,1430343552,3902328499,2029746346,790402600,,3865624020,6785280000,42895640312,,,,,,,129.5359,-27.131,-20.724,43.7883,,46.9081,16.0939,14.1365,,,,,,,5.2308,4.1839,4.6717,3.1596,,1.8177,1.1413,1.6008,,,,,,,9.683,2.8556,1.6466,12.6854,,1.8959,0.0853,0.5979,,,,,,
2014/3/4,-0.103,-0.3861,-1.1561,-0.1434,,-1.6419,0,-1.1792,,,,,,,0.8761,0.6546,0.473,3.9614,,1.0547,0.3788,0.4709,,,,,,,1428870489,3887261593,2006281071,789269000,,3802154040,6785280000,42389795497,,,,,,,129.4025,-27.0263,-20.4844,43.7255,,46.1379,16.0939,13.9698,,,,,,,5.2254,4.1678,4.6177,3.1551,,1.7878,1.1413,1.5819,,,,,,,9.673,2.8446,1.6275,12.6672,,1.8648,0.0853,0.5908,,,,,,
