ÈÕÆÚ,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH
2014/1/30,0.1908,0,1.0072,0.3484,-0.6689,,-7.5765,,1.3532,-3.4965,-0.8287,-0.7722,,,,,0.7049,0.6427,1.0275,0.2568,0.5501,,5.2797,,0.7542,0.7174,1.6968,1.4028,,,,,19391631746,1284423348,1707123600,5225212800,2138400000,,6480135198,,1544704951,2221800000,1180176600,1241310000,,,,,19.2324,67.0068,36.4227,78.7795,58.6439,,45.4544,,38.9234,-26.9016,87.2155,27.6561,,,,,2.0283,1.826,3.2324,2.3343,1.4163,,10.2737,,1.4098,3.6236,1.3314,2.036,,,,,0.7245,1.1945,1.8528,3.2576,6.0605,,5.1773,,0.7101,1.0296,0.9127,1.515,,,,
2014/2/7,1.3333,2.3256,2.5641,2.2569,5.2189,,1.4257,,-0.4005,2.3188,0.4178,-0.0778,,,,,0.5447,1.3173,1.6488,0.4014,1.953,,2.4666,,1.8423,0.4763,1.5822,1.2968,,,,,19650186835,1314293658,1750896000,5343142950,2250000000,,6572520017,,1538517882,2273320000,1185107700,1240344000,,,,,19.4888,68.5651,37.3567,80.5575,61.7044,,46.1025,,38.7674,-27.5254,87.5799,27.6345,,,,,2.0553,1.8684,3.3153,2.387,1.4902,,10.4201,,1.4042,3.7076,1.337,2.0344,,,,,0.7342,1.2223,1.9003,3.3311,6.3768,,5.2511,,0.7073,1.0534,0.9166,1.5139,,,,
2014/2/10,-0.3133,1.7677,3.4722,3.056,1.6,,0.2887,,3.3512,2.2663,3.0513,9.9688,,,,,1.8406,2.0615,2.0518,0.516,2.1386,,2.1848,,2.8827,0.9225,3.0897,6.9183,,,,,19588626100,1337526122,1811691000,5506430850,2286000000,,6591491900,,1590076792,2324840000,1221269100,1363992000,,,,,19.4277,69.7771,38.6538,83.0193,62.6917,,46.2355,,40.0666,-28.1492,90.2523,30.3894,,,,,2.0489,1.9015,3.4304,2.4599,1.5141,,10.4502,,1.4512,3.7916,1.3778,2.2373,,,,,0.7319,1.2439,1.9663,3.4329,6.4788,,5.2663,,0.731,1.0773,0.9445,1.6648,,,,
2014/2/11,-0.8799,-0.2481,-0.6711,-0.659,-1.2598,,0.3629,,-0.6485,0,0.5384,0.7082,,,,,1.1154,1.4799,1.6979,0.4411,1.6313,,1.6871,,1.6491,0.7028,1.8889,4.4264,,,,,19416256040,1334207199,1799532000,5470144650,2257200000,,6615412969,,1579765010,2324840000,1227843900,1373652000,,,,,19.2568,69.604,38.3943,82.4723,61.9019,,46.4033,,39.8068,-28.1492,90.7382,30.6046,,,,,2.0309,1.8967,3.4074,2.4437,1.495,,10.4881,,1.4418,3.7916,1.3852,2.2531,,,,,0.7255,1.2408,1.9531,3.4103,6.3972,,5.2854,,0.7262,1.0773,0.9496,1.6766,,,,
2014/2/12,3.8047,1.2438,-0.5405,1.1609,3.6683,,-1.5586,,2.3499,-1.8006,-1.2048,0.8439,,,,,1.4719,1.3557,1.6577,0.325,2.3905,,1.6921,,2.7091,0.9712,2.1287,3.289,,,,,20154984868,1350801816,1789804800,5533645500,2340000000,,6512304912,,1616887425,2282980000,1213050600,1385244000,,,,,19.9895,70.4697,38.1868,83.4296,64.1726,,45.6801,,40.7422,-27.6423,89.6449,30.8629,,,,,2.1081,1.9203,3.389,2.4721,1.5499,,10.3247,,1.4757,3.7233,1.3685,2.2721,,,,,0.7531,1.2562,1.9426,3.4498,6.6319,,5.203,,0.7433,1.0579,0.9382,1.6907,,,,
2014/2/13,-1.8937,-1.7199,-3.8043,-0.1639,-3.0769,,-5.0032,,-2.2959,-1.9746,1.626,6.2762,,,,,0.8644,1.2443,1.6327,0.5462,2.7935,,2.1209,,1.6971,1.0679,3.3663,9.5502,,,,,19773308307,1327569352,1721714400,5524573950,2268000000,,6186483450,,1579765010,2237900000,1232775000,1472184000,,,,,19.6109,69.2577,36.734,83.2929,62.1981,,43.3946,,39.8068,-27.0965,91.1026,32.7999,,,,,2.0682,1.8873,3.2601,2.468,1.5022,,9.8081,,1.4418,3.6498,1.3907,2.4147,,,,,0.7388,1.2346,1.8687,3.4442,6.4278,,4.9427,,0.7262,1.037,0.9534,1.7968,,,,
2014/2/14,0.4359,2.5,1.9774,0.1642,3.1746,,1.24,,0.3916,0.5755,1.6,4.9869,,,,,0.5774,1.7979,1.179,0.3008,1.9402,,3.7343,,1.3992,0.5214,2.2542,5.3796,,,,,19859493337,1360758586,1755759600,5533645500,2340000000,,6263195845,,1585952079,2250780000,1252499400,1545600000,,,,,19.6964,70.9891,37.4604,83.4296,64.1726,,43.9327,,39.9627,-27.2525,92.5602,34.4356,,,,,2.0772,1.9345,3.3245,2.4721,1.5499,,9.9297,,1.4475,3.6708,1.413,2.5351,,,,,0.742,1.2655,1.9056,3.4498,6.6319,,5.004,,0.7291,1.043,0.9687,1.8864,,,,
2014/2/17,0.248,0.2439,2.6316,1.8033,10,,1.3829,,1.5605,2.5751,0.3937,0.9375,,,,,0.6655,1.2928,1.5216,0.414,2.754,,3.3557,,1.6524,0.7757,1.767,5.2103,,,,,19908741925,1364077509,1801963800,5633432550,2574000000,,6349806613,,1610700356,2308740000,1257430500,1560090000,,,,,19.7452,71.1623,38.4462,84.9341,70.5899,,44.5403,,40.5863,-27.9542,92.9246,34.7584,,,,,2.0824,1.9392,3.412,2.5167,1.7048,,10.0671,,1.4701,3.7654,1.4186,2.5589,,,,,0.7439,1.2686,1.9558,3.5121,7.2951,,5.0732,,0.7404,1.0698,0.9725,1.9041,,,,
2014/2/18,-2.5974,-1.2165,2.5641,-3.3816,-0.4196,,-0.3637,,3.4571,2.2315,-3.268,-3.4056,,,,,1.0873,1.5266,2.8677,0.8342,7.2004,,2.5692,,2.9489,1.3004,2.6212,7.3851,,,,,19391631746,1347482892,1848168000,5442930000,2563200000,,6326710408,,1666383979,2360260000,1216338000,1506960000,,,,,19.2324,70.2966,39.432,82.0619,70.2937,,44.3782,,41.9894,-28.578,89.8879,33.5747,,,,,2.0283,1.9156,3.4995,2.4316,1.6977,,10.0304,,1.5209,3.8494,1.3722,2.4718,,,,,0.7245,1.2532,2.0059,3.3933,7.2645,,5.0547,,0.766,1.0937,0.9407,1.8393,,,,
2014/2/19,-1.7778,0.4926,-2.2368,-0.3333,4.7753,,0.7692,,4.8267,-2.0464,0.1351,1.2821,,,,,1.2953,1.4569,1.4898,0.6397,4.6006,,1.5163,,4.4036,0.9603,1.2007,3.7212,,,,,19046891626,1354120739,1806827400,5424786900,2685600000,,6375377411,,1746815879,2311960000,1217981700,1526280000,,,,,18.8905,70.6429,38.55,81.7884,73.6504,,44.7196,,44.0161,-27.9932,90.0093,34.0051,,,,,1.9922,1.9251,3.4212,2.4235,1.7788,,10.1076,,1.5943,3.7706,1.3741,2.5034,,,,,0.7117,1.2593,1.961,3.382,7.6114,,5.0936,,0.803,1.0713,0.942,1.8628,,,,
2014/2/20,0.1293,-1.4706,-2.4226,-1.6722,-3.8874,,-4.5155,,-4.4864,-1.8106,-3.1039,1.1392,,,,,0.8226,1.5202,1.0982,0.5867,2.9261,,2.0539,,3.2732,0.9144,1.604,7.1092,,,,,19071515920,1334207199,1763055000,5334071400,2581200000,,6087499715,,1668446336,2270100000,1180176600,1543668000,,,,,18.9149,69.604,37.6161,80.4207,70.7873,,42.7003,,42.0414,-27.4864,87.2155,34.3925,,,,,1.9948,1.8967,3.3383,2.3829,1.7096,,9.6512,,1.5228,3.7023,1.3314,2.532,,,,,0.7126,1.2408,1.9135,3.3254,7.3155,,4.8636,,0.767,1.0519,0.9127,1.8841,,,,
2014/2/21,-0.9038,0.4975,1.3793,0.5102,-3.4868,,-1.084,,1.8541,-0.5674,-1.532,-0.3755,,,,,0.7051,1.3708,0.7598,0.3837,2.7263,,2.0322,,2.0428,0.489,1.3206,3.8782,,,,,18899145860,1340845046,1787373000,5361286050,2491200000,,6021510558,,1699381682,2257220000,1162095900,1537872000,,,,,18.7439,69.9503,38.1349,80.831,68.3191,,42.2374,,42.8209,-27.3304,85.8794,34.2634,,,,,1.9768,1.9062,3.3844,2.3951,1.65,,9.5466,,1.551,3.6813,1.311,2.5225,,,,,0.7061,1.247,1.9399,3.3424,7.0604,,4.8109,,0.7812,1.046,0.8988,1.877,,,,
2014/2/24,-2.8664,0.2475,3.5374,0.5076,2.1676,,-0.9589,,1.699,-2.5678,1.4144,1.0678,,,,,1.3703,1.0086,1.5427,0.4221,1.8459,,2.3359,,2.4239,0.4935,0.9007,4.0245,,,,,18357411386,1344163969,1850599800,5388500700,2545200000,,5963770046,,1728254672,2199260000,1178532900,1554294000,,,,,18.2066,70.1234,39.4839,81.2413,69.8,,41.8324,,43.5484,-26.6287,87.0941,34.6293,,,,,1.9201,1.9109,3.5041,2.4073,1.6858,,9.455,,1.5773,3.5868,1.3296,2.5494,,,,,0.6859,1.2501,2.0085,3.3594,7.2134,,4.7648,,0.7945,1.0191,0.9115,1.897,,,,
