ÈÕÆÚ,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH
2014/1/30,0.7055,0.3697,-0.3914,0.3413,-0.5455,-0.5848,-4.79,2.1672,,0.5225,,,-1.2759,0.4969,0.59,0.3452,0.2297,0.0505,0.3655,1.8787,0.8728,,1.0885,,,0.0985,1729993063,2462159364,1364120000,1729993063,,1117512000,2351694033,2268030732,,3777042880,,,2351694033,1.9986,181.8486,323.0732,0.8091,44.2998,2780.6082,521.5279,-9.4461,,13.9338,,,152.5427,449.5282,1.0996,2.6021,181.9822,3.402,2.3395,7.6768,12.3458,,2.1448,,,2.2454,11.6122,0.7491,0.9413,4.7009,0.2722,3.9859,6.4479,1.4398,,1.183,,,1.8859
2014/2/7,3.8529,1.2891,3.3399,5.102,0.3656,0.7843,0.1548,1.8182,,0.3119,,,0.8078,1.412,1.1007,0.8195,0.9549,0.0842,0.4626,1.5474,1.3044,,0.9682,,,0.126,1796647787,2493899909,1409680000,1796647787,,1126276800,2355334426,2309267654,,3788821600,,,2355334426,2.0756,184.1929,333.8635,0.8515,44.5228,2802.4169,522.3352,-9.6178,,13.9772,,,153.8731,466.848,1.1137,2.6891,191.5297,3.4191,2.3578,7.6887,12.5703,,2.1515,,,2.265,12.0596,0.7588,0.9727,4.9476,0.2736,4.0171,6.4578,1.466,,1.1867,,,1.9024
2014/2/10,0,2.3636,3.6122,1.2945,0.5464,1.5564,3.0912,2.6786,,3.6269,,,0.641,1.3935,1.6124,1.4373,0.9261,0.3659,0.6771,2.6426,1.5254,,2.632,,,0.2622,1796647787,2552846634,1460600000,1796647787,,1143806400,2428142291,2371123038,,3926240000,,,2428142291,2.0756,188.5465,345.9232,0.8626,44.7661,2846.0343,538.4816,-9.8754,,14.4842,,,154.8442,466.848,1.1401,2.7862,194.009,3.4378,2.3945,7.9264,12.907,,2.2295,,,2.2793,12.0596,0.7767,1.0079,5.0116,0.2751,4.0796,6.6575,1.5053,,1.2297,,,1.9144
2014/2/11,-1.3491,-0.8881,0.367,0,-0.1812,0.3831,3.5232,-0.8696,,1.9,,,0.6369,0.8567,1.6598,1.3609,0.7977,0.1608,0.5606,4.1987,1.386,,3.6436,,,0.3031,1772409705,2530174816,1465960000,1772409705,,1148188800,2513691532,2350504577,,4000838560,,,2513691532,2.0476,186.872,347.1926,0.8625,44.6805,2856.9386,557.4535,-9.7895,,14.7594,,,155.7948,460.5499,1.1299,2.7964,193.9893,3.4312,2.4037,8.2056,12.7947,,2.2719,,,2.2933,11.8969,0.7698,1.0116,5.0111,0.2746,4.0953,6.892,1.4922,,1.2531,,,1.9262
2014/2/12,-3.0769,1.2545,2.011,-5.1118,0,1.145,-1.6655,0.5848,,2.3553,,,-0.4747,1.6456,1.8407,1.603,1.2007,0.0811,0.7986,2.2811,0.9835,,2.635,,,0.1396,1717874022,2561915361,1495440000,1717874022,,1161336000,2471827010,2364250218,,4095068320,,,2471827010,1.9846,189.2163,354.1746,0.8186,44.693,2889.6516,548.1694,-9.8468,,15.107,,,155.0781,446.3791,1.1441,2.8526,184.1244,3.4321,2.4312,8.069,12.8696,,2.3254,,,2.2827,11.5308,0.7795,1.0319,4.7563,0.2747,4.1422,6.7772,1.5009,,1.2826,,,1.9173
2014/2/13,-0.7055,3.1858,-3.2258,-3.367,-0.1815,-0.3774,-2.43,9.8837,,-2.6846,,,-1.1129,0.7893,3.3962,0.8805,0.9762,0.0912,1.376,2.5,4.8313,,3.4109,,,0.1968,1705754981,2643533903,1447200000,1705754981,,1156953600,2411760522,2597926111,,3985133600,,,2411760522,1.9706,195.2444,342.7496,0.7913,44.6277,2878.7473,534.8486,-10.82,,14.7014,,,153.4075,443.2301,1.1806,2.7606,177.9882,3.4271,2.4221,7.8729,14.1416,,2.2629,,,2.2581,11.4495,0.8043,0.9986,4.5978,0.2743,4.1265,6.6125,1.6493,,1.2482,,,1.8966
2014/2/14,0.1776,2.0583,2.7778,2.7875,-1.2727,8.9015,0.9057,0.2646,,4.0394,,,-0.3215,0.8464,2.4819,0.945,0.4974,0.1306,4.623,1.5311,3.6819,,3.6918,,,0.1961,1708784742,2697946265,1487400000,1708784742,,1259940000,2433602881,2604798932,,4146109440,,,2433602881,1.9741,199.2632,352.2704,0.813,44.0391,3134.9994,539.6925,-10.8486,,15.2953,,,152.8391,444.0173,1.2049,2.8373,182.8636,3.3819,2.6377,7.9442,14.179,,2.3543,,,2.2498,11.4698,0.8209,1.0264,4.7237,0.2706,4.4939,6.6724,1.6536,,1.2986,,,1.8896
2014/2/17,0.5319,7.7311,1.8018,-3.0508,0,0.3478,-0.5236,1.0554,,1.0417,,,-0.3226,0.991,3.6887,1.2465,0.5351,0.1775,2.9807,1.8686,3.3076,,3.5323,,,0.1565,1717874022,2906526984,1514200000,1717874022,,1264322400,2420861505,2632290213,,4189298080,,,2420861505,1.9846,214.6684,358.6176,0.788,44.0301,3145.9038,536.8669,-10.9631,,15.4546,,,152.3037,446.3791,1.298,2.8884,177.2487,3.3812,2.6468,7.9026,14.3286,,2.3789,,,2.2419,11.5308,0.8843,1.0449,4.5787,0.2706,4.5095,6.6375,1.6711,,1.3121,,,1.883
2014/2/18,0.7055,0.156,0.708,1.049,-1.2891,-1.9064,2.6316,-2.0888,,3.1865,,,0.4854,0.9866,3.4735,1.2977,0.2668,0.3508,1.5008,3.1844,2.2243,,5.2473,,,0.2517,1729993063,2911061348,1524920000,1729993063,,1240219200,2484568386,2577307650,,4322790240,,,2484568386,1.9986,215.0033,361.1565,0.7966,43.4807,3085.9299,550.995,-10.7341,,15.9471,,,153.0932,449.5282,1.3,2.9089,179.183,3.3391,2.5964,8.1106,14.0293,,2.4547,,,2.2535,11.6122,0.8857,1.0523,4.6286,0.2672,4.4235,6.8122,1.6362,,1.3539,,,1.8928
2014/2/19,-1.0508,-2.8037,-1.2302,0.346,1.306,-1.4134,-1.0989,0.5333,,-0.8174,,,0.161,0.7738,3.1074,0.9456,0.2367,0.2067,1.6724,3.728,1.8637,,4.0259,,,0.2387,1711814502,2829442805,1506160000,1711814502,,1222689600,2457265437,2591053291,,4287454080,,,2457265437,1.9776,208.9752,356.7134,0.7998,44.0704,3042.3125,544.9401,-10.7914,,15.8167,,,153.415,444.8046,1.2636,2.8731,179.8921,3.3843,2.5597,8.0214,14.1041,,2.4346,,,2.2582,11.4902,0.8609,1.0393,4.647,0.2708,4.361,6.7373,1.6449,,1.3429,,,1.8967
