ÈÕÆÚ,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH
2014/1/30,-0.8048,0.2415,-0.4988,-1.5422,-1.092,0.4975,,-1.542,-2.728,,,,-1.3825,-1.2658,-0.7942,,,,,0.2748,0.5143,0.3971,2.1551,4.8229,0.3633,,2.2206,2.8398,,,,0.8902,0.391,0.7026,,,,,2410016972,2177962322,1913999808,1218215257,1764578598,978828511.4,,1009668670,848670900.5,,,,2182800000,2924548754,2687824640,,,,,13.8806,78.7064,74.3735,26.8884,20.6586,99.3928,,113.7388,24.6153,,,,15.4466,9.3418,24.994,,,,,1.0123,1.3974,1.4888,3.7618,2.7623,1.7013,,3.9565,2.5608,,,,4.3072,1.1829,2.1592,,,,,0.3721,0.4132,0.3197,4.2037,2.6197,0.8272,,2.8291,2.5881,,,,0.9389,0.3425,0.7629,,,,
2014/2/7,1.0142,0.4819,1.0025,5.1113,2.1293,-0.2475,,2.2709,3.2051,,,,-1.6355,3.3333,-0.1456,,,,,0.5423,0.5565,0.5106,5.6288,5.6767,0.5494,,2.1975,3.4987,,,,1.4306,0.7985,0.9541,,,,,2434459335,2188458526,1933187776,1280481824,1802152433,976405668.6,,1032597716,875871890.9,,,,2147100000,3022033713,2683912231,,,,,14.0214,79.0857,75.1191,28.2628,21.0985,99.1468,,116.3217,25.4042,,,,15.194,9.6532,24.9576,,,,,1.0226,1.4042,1.5038,3.9541,2.8211,1.6971,,4.0464,2.6429,,,,4.2368,1.2224,2.156,,,,,0.3759,0.4151,0.3229,4.4186,2.6755,0.8251,,2.8933,2.6711,,,,0.9235,0.3539,0.7618,,,,
2014/2/10,2.2088,6.235,2.4814,0.3922,2.8571,1.737,,1.9142,4.8137,,,,2.8504,2.6055,4.3003,,,,,1.0201,3.3609,0.9425,9.7093,12.2509,2.1756,,3.0248,8.0391,,,,1.3044,1.154,3.9176,,,,,2488232533,2324909177,1981157696,2406461389,1853642502,993365568.5,,1052364134,918033426,,,,2208300000,3100771564,2799328282,,,,,14.3311,84.0167,76.9831,28.3736,21.7014,100.8689,,118.5484,26.6271,,,,15.627,9.9047,26.0308,,,,,1.0452,1.4917,1.5411,3.9696,2.9017,1.7265,,4.1238,2.7701,,,,4.3576,1.2542,2.2487,,,,,0.3842,0.441,0.3309,4.4359,2.7519,0.8394,,2.9487,2.7996,,,,0.9498,0.3632,0.7945,,,,
2014/2/11,0.1965,3.8375,1.4528,-1.7188,7.7327,0.4878,,-1.8032,-1.8519,,,,-0.2309,0,-0.4193,,,,,0.8188,5.2266,1.2928,8.1933,16.7489,1.4465,,3.9292,6.416,,,,1.2542,0.7774,1.8564,,,,,2493121006,2414126911,2009939648,2365100334,1996979723,998211254.2,,1033388372,901032807,,,,2203200000,3100771564,2787591056,,,,,14.3593,87.2409,78.1015,27.8859,23.3795,101.361,,116.4108,26.134,,,,15.591,9.9047,25.9217,,,,,1.0472,1.5489,1.5635,3.9014,3.1261,1.735,,4.0495,2.7188,,,,4.3475,1.2542,2.2393,,,,,0.3849,0.458,0.3357,4.3597,2.9647,0.8435,,2.8956,2.7478,,,,0.9476,0.3632,0.7912,,,,
2014/2/12,1.1765,0,2.148,-0.0795,0.7666,0.9709,,3.9021,4.3019,,,,1.8519,0.7255,-0.9825,,,,,0.9704,2.1495,1.8902,8.1356,9.7744,1.5592,,3.4378,6.7277,,,,2.0311,0.9352,1.6467,,,,,2522451841,2414126911,2053112576,2363220286,2012287581,1007902626,,1073711867,939794218.3,,,,2244000000,3123268093,2760204197,,,,,14.5282,87.2409,79.7791,27.8638,23.5587,102.3451,,120.9532,27.2582,,,,15.8797,9.9765,25.667,,,,,1.0596,1.5489,1.597,3.8983,3.1501,1.7518,,4.2075,2.8358,,,,4.428,1.2633,2.2173,,,,,0.3895,0.458,0.3429,4.3562,2.9874,0.8517,,3.0085,2.866,,,,0.9652,0.3658,0.7834,,,,
2014/2/13,-1.3566,-1.5217,-2.3364,-2.5457,-3.8036,0.2404,,-5.3756,-4.9928,,,,-2.5758,-1.4406,2.9766,,,,,0.6952,2.9773,1.013,6.3274,8.4711,2.5595,,3.9282,6.5893,,,,1.7278,0.6627,2.5133,,,,,2488232533,2377390197,2005142656,2303058751,1935748289,1010325468,,1015993924,892872509.9,,,,2186200000,3078275035,2842364775,,,,,14.3311,85.9133,77.9151,27.1544,22.6626,102.5911,,114.4513,25.8973,,,,15.4707,9.8328,26.431,,,,,1.0452,1.5254,1.5597,3.799,3.0303,1.756,,3.9813,2.6942,,,,4.3139,1.2451,2.2833,,,,,0.3842,0.451,0.3349,4.2453,2.8738,0.8538,,2.8468,2.7229,,,,0.9403,0.3605,0.8068,,,,
2014/2/14,2.1611,3.9735,1.1962,1.551,3.307,0.7194,,3.1128,2.5895,,,,1.0886,1.0962,0.9635,,,,,0.9964,3.0172,0.6171,8.6279,7.1655,1.2871,,3.6152,5.312,,,,0.9908,0.555,1.7817,,,,,2542005731,2471856033,2029127616,2338779662,1999762970,1017593997,,1047620194,915993351.7,,,,2210000000,3112019828,2869751635,,,,,14.6408,89.3271,78.8471,27.5756,23.412,103.3291,,118.014,26.5679,,,,15.6391,9.9406,26.6857,,,,,1.0678,1.586,1.5784,3.8579,3.1305,1.7687,,4.1052,2.764,,,,4.3609,1.2588,2.3053,,,,,0.3925,0.4689,0.3389,4.3111,2.9689,0.8599,,2.9354,2.7934,,,,0.9506,0.3645,0.8145,,,,
2014/2/17,0.1923,7.8556,1.182,-0.3215,2.9923,0.9524,,0.7547,3.1923,,,,0.9231,1.9277,0,,,,,1.1805,3.4391,0.7407,14.3254,8.7479,1.2774,,5.8638,6.1516,,,,1.2375,1.0152,1.6672,,,,,2546894204,2666035806,2053112576,2331259470,2059602780,1027285368,,1055526761,945234416.4,,,,2230400000,3172010572,2869751635,,,,,14.669,96.3443,79.7791,27.4869,24.1126,104.3132,,118.9047,27.416,,,,15.7834,10.1322,26.6857,,,,,1.0698,1.7106,1.597,3.8455,3.2242,1.7855,,4.1362,2.8522,,,,4.4012,1.283,2.3053,,,,,0.3932,0.5057,0.3429,4.2973,3.0577,0.8681,,2.9576,2.8826,,,,0.9593,0.3715,0.8145,,,,
2014/2/18,1.7274,0,-0.9346,7.0968,-2.3649,-1.4151,,1.6479,1.7986,,,,-1.2957,1.3002,3.0675,,,,,2.8596,,0.9593,25.5529,6.9805,1.506,,5.6357,8.3387,,,,1.5991,1.3017,2.9028,,,,,2590890457,2666035806,2033924608,2496703691,2010895958,1012748311,,1072921210,962235035.4,,,,2201500000,3213254208,2957780826,,,,,14.9224,96.3443,79.0335,29.4376,23.5424,102.8371,,120.8641,27.9091,,,,15.5789,10.264,27.5043,,,,,1.0883,1.7106,1.5821,4.1185,3.1479,1.7602,,4.2044,2.9035,,,,4.3441,1.2997,2.376,,,,,0.4,0.5057,0.3397,4.6022,2.9854,0.8558,,3.0063,2.9344,,,,0.9469,0.3763,0.8395,,,,
2014/2/19,0,0,1.6509,-2.4096,-0.8304,1.1962,,-3.1688,-1.0601,,,,-0.5405,-0.8168,2.6455,,,,,2.0797,,1.1472,17.1481,6.0368,1.5298,,4.14,5.8658,,,,1.5285,0.7026,2.7783,,,,,2590890457,2666035806,2067503552,2436542156,1994196476,1024862526,,1038922970,952034664,,,,2189600000,3187008258,3036028996,,,,,14.9224,96.3443,80.3383,28.7283,23.3469,104.0672,,117.0342,27.6133,,,,15.4947,10.1801,28.2319,,,,,1.0883,1.7106,1.6082,4.0192,3.1218,1.7813,,4.0712,2.8727,,,,4.3207,1.2891,2.4389,,,,,0.4,0.5057,0.3453,4.4913,2.9606,0.8661,,2.9111,2.9033,,,,0.9418,0.3733,0.8617,,,,
