ÈÕÆÚ,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH
2014/1/30,0.1653,,,,,,,,0.3384,0,3.1214,3.1915,-0.7246,,-1.3201,-1.9347,,,0.8853,,,,,,,,0.7114,0.265,0.7694,0.3409,0.8525,,0.1313,2.0096,,,1137748002,,,,,,,,5016154077,3155508000,3104158332,1818639420,3423693108,,89261127800,908155796.8,,,95.0246,,,,,,,,10.1708,14.2378,223.6254,3.5263,21.3196,,4.3974,17.4621,,,6.3144,,,,,,,,1.2685,1.0166,4.0001,52.1022,2.232,,0.7599,1.9178,,,0.6399,,,,,,,,0.1613,0.2059,8.1507,56.8391,0.9238,,0.1317,0.2932,,
2014/2/7,1.8152,,,,,,,,0.5059,0.6006,0.5605,0.2062,4.7445,,0,0.7398,,,0.9394,,,,,,,,0.8339,0.2021,0.4175,0.3444,2.2741,,0.1771,3.1105,,,1158400193,,,,,,,,5041530910,3174460000,3121558323,1822389192,3586131102,,89261127800,914874582,,,96.7495,,,,,,,,10.2223,14.3233,224.8789,3.5336,22.3311,,4.3974,17.5913,,,6.429,,,,,,,,1.2749,1.0227,4.0225,52.2096,2.3379,,0.7599,1.932,,,0.6516,,,,,,,,0.1621,0.2071,8.1964,56.9563,0.9676,,0.1317,0.2954,,
2014/2/10,2.107,,,,,,,,2.0134,1.791,2.2297,0.823,9.9303,,1.0033,3.4272,,,1.6297,,,,,,,,1.9387,0.4764,0.7312,0.5393,4.6232,,0.2798,5.1506,,,1182807329,,,,,,,,5143038244,3231316000,3191158285,1837388280,3942245166,,90156724400,946228912.9,,,98.788,,,,,,,,10.4281,14.5799,229.8929,3.5627,24.5486,,4.4415,18.1942,,,6.5644,,,,,,,,1.3006,1.041,4.1122,52.6393,2.5701,,0.7676,1.9982,,,0.6653,,,,,,,,0.1654,0.2108,8.3791,57.4251,1.0637,,0.133,0.3055,,
2014/2/11,0.4762,,,,,,,,0.1645,0.2933,0.7634,-0.6122,1.5848,,0.3311,1.4201,,,1.7098,,,,,,,,1.3965,0.5112,0.5939,0.8461,10.8192,,0.3911,4.8555,,,1188439744,,,,,,,,5151497188,3240792000,3215518272,1826138964,4004721318,,90455256600,959666483.2,,,99.2584,,,,,,,,10.4453,14.6226,231.6478,3.5409,24.9377,,4.4562,18.4525,,,6.5957,,,,,,,,1.3028,1.0441,4.1436,52.317,2.6108,,0.7701,2.0266,,,0.6684,,,,,,,,0.1656,0.2114,8.4431,57.0735,1.0806,,0.1335,0.3098,,
2014/2/12,1.4218,,,,,,,,0.3284,0.2924,-1.0823,-1.848,0.156,,-0.33,0.9335,,,2.4657,,,,,,,,1.3639,0.3811,0.5936,0.4668,5.4044,,0.1959,4.0896,,,1205336992,,,,,,,,5168415077,3250268000,3180718291,1792391016,4010968933,,90156724400,968624863.5,,,100.6697,,,,,,,,10.4796,14.6654,229.1408,3.4754,24.9766,,4.4415,18.6248,,,6.6895,,,,,,,,1.307,1.0471,4.0987,51.3502,2.6149,,0.7676,2.0455,,,0.678,,,,,,,,0.1662,0.212,8.3517,56.0187,1.0823,,0.133,0.3127,,
2014/2/13,-2.3364,,,,,,,,0,-0.8746,3.1729,-1.2552,7.1651,,-0.9934,-1.1561,,,1.952,,,,,,,,1.926,0.4267,1.1853,0.6201,15.698,,0.3601,5.6949,,,1177174913,,,,,,,,5168415077,3221840000,3281638237,1769892384,4298359230,,89261127800,957426888.2,,,98.3176,,,,,,,,10.4796,14.5371,236.4112,3.4318,26.7662,,4.3974,18.4095,,,6.5332,,,,,,,,1.307,1.038,4.2288,50.7056,2.8022,,0.7599,2.0219,,,0.6621,,,,,,,,0.1662,0.2102,8.6167,55.3156,1.1598,,0.1317,0.3091,,
2014/2/14,3.0303,,,,,,,,4.2553,0.8824,0.106,2.9661,0,,0.3344,2.5731,,,2.3144,,,,,,,,3.1731,0.4012,0.9064,0.6371,8.4634,,0.2775,4.3554,,,1212846880,,,,,,,,5388347634,3250268000,3285118235,1822389192,4298359230,,89559660000,982062433.8,,,101.2969,,,,,,,,10.9255,14.6654,236.6619,3.5336,26.7662,,4.4121,18.8832,,,6.7312,,,,,,,,1.3627,1.0471,4.2333,52.2096,2.8022,,0.7625,2.0739,,,0.6822,,,,,,,,0.1733,0.212,8.6258,56.9563,1.1598,,0.1321,0.3171,,
2014/2/17,0,,,,,,,,1.0989,1.4577,0.6356,-0.2058,0.2907,,0.3333,1.0262,,,2.2744,,,,,,,,3.7442,0.7415,0.8564,0.8471,6.6157,,0.2914,7.7222,,,1212846880,,,,,,,,5447560245,3297648000,3305998224,1818639420,4310854460,,89858192200,992140611.6,,,101.2969,,,,,,,,11.0456,14.8792,238.1661,3.5263,26.844,,4.4268,19.077,,,6.7312,,,,,,,,1.3776,1.0624,4.2602,52.1022,2.8104,,0.765,2.0952,,,0.6822,,,,,,,,0.1752,0.2151,8.6807,56.8391,1.1632,,0.1326,0.3203,,
2014/2/18,1.3932,,,,,,,,-1.3975,-1.4368,0.7368,0.2062,1.0145,,-0.9967,0.2257,,,3.0938,,,,,,,,1.683,0.5802,1.4824,0.6976,8.8015,,0.2325,6.9835,,,1229744127,,,,,,,,5371429745,3250268000,3330358210,1822389192,4354587767,,88962595600,994380206.6,,,102.7082,,,,,,,,10.8912,14.6654,239.921,3.5336,27.1163,,4.3827,19.12,,,6.8249,,,,,,,,1.3584,1.0471,4.2916,52.2096,2.8389,,0.7574,2.0999,,,0.6917,,,,,,,,0.1727,0.212,8.7446,56.9563,1.175,,0.1313,0.321,,
2014/2/19,0.458,,,,,,,,0.1575,1.4577,-1.4629,1.2346,-1.5782,,1.0067,0,,,2.5126,,,,,,,,1.3009,0.8662,0.9915,0.9162,6.265,,0.2865,5.5036,,,1235376543,,,,,,,,5379888689,3297648000,3281638237,1844887824,4285864000,,89858192200,994380206.6,,,103.1786,,,,,,,,10.9084,14.8792,236.4112,3.5772,26.6884,,4.4268,19.12,,,6.8562,,,,,,,,1.3605,1.0624,4.2288,52.8541,2.7941,,0.765,2.0999,,,0.6948,,,,,,,,0.173,0.2151,8.6167,57.6595,1.1564,,0.1326,0.321,,
