ÈÕÆÚ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ
2014/5/7,-2.6738,-0.4706,0,0.7854,0.1458,,1221671615,4739271290,3823069800,122.7862,43.5238,-9.3553,2.5859,5.2491,8.7749,3.0991,2.5181,6.5825
2014/5/8,0.2747,-1.2411,0,0.6838,0.1445,,1225027856,4680450547,3823069800,123.1236,42.9836,-9.3553,2.593,5.1839,8.7749,3.1076,2.4869,6.5825
2014/5/9,-0.8219,-2.0946,0,1.0246,0.4733,,1214959133,4582415975,3823069800,122.1116,42.0833,-9.3553,2.5716,5.0754,8.7749,3.082,2.4348,6.5825
2014/5/12,2.2099,3.3007,-3.9394,0.8967,0.3915,5.424,1241809059,4733669314,3672464020,124.8102,43.4723,-8.9868,2.6285,5.2429,8.4292,3.1501,2.5152,6.3232
2014/5/13,3.7838,0.1775,-2.2082,2.969,0.2114,4.2389,1288796429,4742072278,3591368600,129.5327,43.5495,-8.7883,2.7279,5.2522,8.2431,3.2693,2.5196,6.1836
2014/5/14,-2.0833,1.0041,0,1.5027,0.2105,,1261946503,4789689070,3591368600,126.8341,43.9868,-8.7883,2.6711,5.3049,8.2431,3.2012,2.5449,6.1836
2014/5/15,0.5319,-1.1111,0,2.1354,0.1558,,1268658985,4736470302,3591368600,127.5088,43.4981,-8.7883,2.6853,5.246,8.2431,3.2182,2.5166,6.1836
2014/5/16,-0.2646,0.3548,0,0.9636,0.1281,,1265302744,4753276229,3591368600,127.1715,43.6524,-8.7883,2.6782,5.2646,8.2431,3.2097,2.5256,6.1836
2014/5/19,1.061,-1.0607,0,0.9709,0.077,,1278727707,4702858449,3591368600,128.5208,43.1894,-8.7883,2.7066,5.2088,8.2431,3.2438,2.4988,6.1836
2014/5/20,0,0.3574,0,1.249,0.087,,1278727707,4719664376,3591368600,128.5208,43.3437,-8.7883,2.7066,5.2274,8.2431,3.2438,2.5077,6.1836
2014/5/21,0.5249,0.0593,0,0.9875,0.0873,,1285440188,4722465363,3591368600,129.1954,43.3694,-8.7883,2.7208,5.2305,8.2431,3.2608,2.5092,6.1836
2014/5/22,0,0.7711,0,1.4854,0.147,,1285440188,4758878204,3591368600,129.1954,43.7038,-8.7883,2.7208,5.2708,8.2431,3.2608,2.5285,6.1836
2014/5/23,0,4.0024,0,0.641,0.5094,,1285440188,4949345372,3591368600,129.1954,45.453,-8.7883,2.7208,5.4818,8.2431,3.2608,2.6297,6.1836
2014/5/26,0.5222,0,0,1.0687,0.2809,,1292152670,4949345372,3591368600,129.8701,45.453,-8.7883,2.735,5.4818,8.2431,3.2778,2.6297,6.1836
2014/5/27,-0.7792,-0.7923,0,0.7578,0.1699,,1282083947,4910131543,3591368600,128.8581,45.0929,-8.7883,2.7137,5.4383,8.2431,3.2523,2.6089,6.1836
2014/5/28,0.5236,0.6845,0,0.8839,0.1548,,1288796429,4943743396,3591368600,129.5327,45.4016,-8.7883,2.7279,5.4756,8.2431,3.2693,2.6268,6.1836
2014/5/29,-4.9479,-0.7365,0,1.9484,0.1718,,1225027856,4907330556,3591368600,123.1236,45.0672,-8.7883,2.593,5.4352,8.2431,3.1076,2.6074,6.1836
2014/5/30,2.1918,0.1156,0,0.8675,0.1439,,1251877781,4851310800,3591368600,125.8222,44.5527,-8.7883,2.6498,5.3732,8.2431,3.1757,2.5777,6.1836
2014/6/3,-0.2681,1.097,0,0.7318,0.2512,,1248521540,4904529568,3591368600,125.4848,45.0414,-8.7883,2.6427,5.4321,8.2431,3.1672,2.6059,6.1836
2014/6/4,0.2688,-0.3427,0,0.5032,0.2232,,1251877781,4887723641,3591368600,125.8222,44.8871,-8.7883,2.6498,5.4135,8.2431,3.1757,2.597,6.1836
2014/6/5,0.5362,2.0057,0,0.7919,0.3063,,1258590263,4985758213,3591368600,126.4968,45.7874,-8.7883,2.664,5.5221,8.2431,3.1927,2.6491,6.1836
2014/6/6,-0.8,-0.1685,0,0.3903,0.1496,,1248521540,4977355250,3591368600,125.4848,45.7103,-8.7883,2.6427,5.5128,8.2431,3.1672,2.6446,6.1836
2014/6/9,-0.2688,-0.4502,0,0.4581,0.1233,,1245165300,4954947347,3776066600,125.1475,45.5045,-8.7883,2.6356,5.488,8.2431,3.1586,2.6327,6.1836
2014/6/10,0,0.3957,0,0.97,0.1667,,1245165300,4974554262,3776066600,125.1475,45.6845,-8.7883,2.6356,5.5097,8.2431,3.1586,2.6431,6.1836
2014/6/11,-0.2695,-0.0563,0,1.0217,0.1523,,1241809059,4971753274,4024066600,124.8102,45.6588,-8.7883,2.6285,5.5066,8.2431,3.1501,2.6417,6.1836
2014/6/12,-0.5405,0,0,0.4617,0.1153,10.791,1235096578,4971753274,4024066600,124.1355,45.6588,-8.7883,2.6143,5.5066,8.2431,3.1331,2.6417,6.1836
2014/6/13,1.3587,0.6197,-1.7742,0.9646,0.201,5.8111,1251877781,5002564139,3952671870,125.8222,45.9418,-8.6324,2.6498,5.5407,8.0969,3.1757,2.658,6.0738
2014/6/16,0.8043,0.9518,-0.1642,0.7592,0.2636,3.9266,1261946503,5050180931,3946181440,126.8341,46.3791,-8.6182,2.6711,5.5935,8.0836,3.2012,2.6833,6.0639
2014/6/17,-1.3298,-1.9412,-0.3289,0.5279,0.1643,2.2856,1245165300,4952146360,3933200580,125.1475,45.4787,-8.5899,2.6356,5.4849,8.057,3.1586,2.6312,6.0439
2014/6/18,0.5391,-2.1493,-2.1452,0.7209,0.1846,2.2424,1251877781,4845708825,3848824990,125.8222,44.5013,-8.4056,2.6498,5.367,7.8841,3.1757,2.5747,5.9143
2014/6/19,-2.681,-3.3526,-2.1922,1.0396,0.2961,2.929,1218315374,4683251535,3764449400,122.4489,43.0093,-8.2214,2.5787,5.1871,7.7113,3.0905,2.4884,5.7846
2014/6/20,-0.551,1.1962,-3.9655,0.5583,0.1765,1.687,1211602893,4739271290,3615169510,121.7743,43.5238,-7.8953,2.5645,5.2491,7.4055,3.0735,2.5181,5.5552
2014/6/23,0.554,0.7683,0,0.5412,0.1098,,1218315374,4775684131,3615169510,122.4489,43.8582,-7.8953,2.5787,5.2894,7.4055,3.0905,2.5375,5.5552
2014/6/24,2.4793,0.5865,0,1.1169,0.1475,,1248521540,4803694008,3615169510,125.4848,44.1154,-7.8953,2.6427,5.3204,7.4055,3.1672,2.5524,5.5552
2014/6/25,-1.0753,-0.5248,0,0.8893,0.0954,,1235096578,4778485119,3615169510,124.1355,43.8839,-7.8953,2.6143,5.2925,7.4055,3.1331,2.539,5.5552
2014/6/26,10.0543,1.2309,0,9.0919,0.13,,1359277484,4837305862,3615169510,136.6166,44.4241,-7.8953,2.8771,5.3577,7.4055,3.4481,2.5702,5.5552
2014/6/27,10.1235,0.3474,0,9.7078,0.1695,,1496883352,4854111788,3615169510,150.4469,44.5784,-7.8953,3.1684,5.3763,7.4055,3.7972,2.5791,5.5552
2014/6/30,10.0897,1.2695,0,1.394,0.2104,,1647914184,4924490021,3615169510,165.6265,45.1443,-7.8953,3.4881,5.4445,7.4055,4.1803,2.6119,5.5552
2014/7/1,9.9796,0.114,0,28.6769,0.1703,,1812369978,4930101976,3615169510,182.1554,45.1958,-7.8953,3.8362,5.4507,7.4055,4.5975,2.6149,5.5552
2014/7/2,3.5185,-0.5692,0,30.9363,0.203,,1876138551,4902042203,3615169510,188.5646,44.9386,-7.8953,3.9711,5.4197,7.4055,4.7593,2.6,5.5552
2014/7/3,-7.5134,1.0303,0,20.9284,0.2844,,1735176442,4952549793,3615169510,174.3969,49.4658,-7.8953,3.6728,5.9657,7.4055,4.4017,2.8619,5.5552
2014/7/4,-2.1277,0.3399,0,14.9662,0.1518,,1698257794,4969385657,3615169510,170.6864,49.6339,-7.8953,3.5946,5.986,7.4055,4.308,2.8716,5.5552
2014/7/7,0.5929,4.4043,0,13.2584,0.4739,,1708326516,5188251880,3615169510,171.6983,51.8199,-7.8953,3.6159,6.2496,7.4055,4.3336,2.9981,5.5552
2014/7/8,0.1965,0.1622,0,10.4871,1.39,,1711682757,5196669811,3615169510,172.0357,51.904,-7.8953,3.623,6.2598,7.4055,4.3421,3.003,5.5552
2014/7/9,-6.8627,-3.3477,0,16.302,0.5076,,1594214333,5022699224,3615169510,160.2293,50.1664,-7.8953,3.3744,6.0502,7.4055,4.0441,2.9024,5.5552
2014/7/10,-1.8947,1.4525,0,14.374,0.262,,2030008166,5095654632,3615169510,157.1934,50.8951,-7.8953,3.3105,6.1381,7.4055,3.9675,2.9446,5.5552
2014/7/11,0,0.5507,0,14.5839,0.3187,,2030008166,5123714404,3615169510,157.1934,51.1754,-7.8953,3.3105,6.1719,7.4055,3.9675,2.9608,5.5552
2014/7/14,0.6438,-0.1643,0,7.8199,0.2948,,2043076888,5115296472,3615169510,158.2053,51.0913,-7.8953,3.3318,6.1618,7.4055,3.993,2.956,5.5552
2014/7/15,-5.9701,0.8228,0,16.2834,0.2813,,1921102149,5157386130,3615169510,148.7602,51.5117,-7.8953,3.1329,6.2125,7.4055,3.7546,2.9803,5.5552
2014/7/16,0,-0.4897,0,7.2426,0.1721,,1921102149,5132132335,3615169510,148.7602,51.2594,-7.8953,3.1329,6.182,7.4055,3.7546,2.9657,5.5552
2014/7/17,0,-1.3122,0,4.9674,0.1867,,1921102149,5064788882,3615169510,148.7602,50.5868,-7.8953,3.1329,6.1009,7.4055,3.7546,2.9268,5.5552
2014/7/18,-0.2268,0.4432,0,6.0412,0.193,,1916745908,5087236700,3615169510,148.4229,50.811,-7.8953,3.1258,6.128,7.4055,3.7461,2.9397,5.5552
2014/7/21,-0.6818,-0.9928,0,7.3681,0.167,,1903677186,5036729110,3615169510,147.4109,50.3065,-7.8953,3.1044,6.0671,7.4055,3.7206,2.9106,5.5552
2014/7/22,0.9153,0.8357,0,5.5949,0.2457,,1921102149,5078818768,3615169510,148.7602,50.7269,-7.8953,3.1329,6.1178,7.4055,3.7546,2.9349,5.5552
2014/7/23,-2.0408,-0.1657,0,6.2583,0.2043,,1881895982,5070400837,3615169510,145.7243,50.6429,-7.8953,3.0689,6.1077,7.4055,3.678,2.93,5.5552
2014/7/24,-0.6944,0,0,5.9387,0.2181,,1868827260,5070400837,3615169510,144.7123,50.6429,-7.8953,3.0476,6.1077,7.4055,3.6525,2.93,5.5552
2014/7/25,0.6993,0.6087,0,3.1041,0.203,,1881895982,5101266586,3615169510,145.7243,50.9511,-7.8953,3.0689,6.1449,7.4055,3.678,2.9478,5.5552
2014/7/28,3.0093,2.0352,0,10.2466,0.6879,,1938527112,5205087743,3615169510,150.1095,51.9881,-7.8953,3.1613,6.2699,7.4055,3.7887,3.0078,5.5552
2014/7/29,0.6742,0.8086,10.0539,7.4666,0.5863,3.6377,1951595834,5247177401,3978633590,151.1215,52.4085,-8.6891,3.1826,6.3206,8.15,3.8142,3.0322,6.1137
2014/7/30,0.4464,-0.3743,9.9511,7.7503,0.2734,9.1437,1960308315,5227535561,4374549820,151.7962,52.2123,-9.5538,3.1968,6.297,8.9611,3.8312,3.0208,6.7221
2014/7/31,0.2222,1.7177,9.9407,5.5179,0.6271,14.7313,1964664556,5317326832,4809408630,152.1335,53.1091,-10.5035,3.2039,6.4051,9.8519,3.8398,3.0727,7.3903
2014/8/1,-2.8825,-1.4776,-3.1039,6.8151,0.4151,7.992,1908033427,5238759470,4660128740,147.7483,52.3244,-10.1775,3.1115,6.3105,9.5461,3.7291,3.0273,7.161
