ÈÕÆÚ,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH
2014/1/30,0,-0.312,-1.7751,-0.8949,0,0.6342,-1.3597,-0.3205,,0.4676,0.7415,0.2209,,0.415,0.397,0.0832,5196652333,1244328336,1293011184,1293011184,3670004000,6386597767,2394000000,6386597767,43.5849,146.6973,-824.4448,-576.6292,31.1096,22.8209,33.161,15.1712,3.1424,2.7201,22.1362,15.4824,3.4335,1.9832,1.7779,1.3184,2.9185,1.8736,76.6339,53.5989,1.238,3.209,4.4772,2.1333
2014/2/7,0,0.939,0.8032,2.9345,0,1.7507,1.3784,0.2572,,0.5129,0.7316,0.5932,,0.5863,0.5524,0.103,5196652333,1256012170,1303396816,1303396816,3670004000,6498407952,2427000000,6498407952,43.5849,148.0748,-831.0669,-594.3659,31.1096,23.2204,33.6181,15.22,3.1424,2.7456,22.314,15.9586,3.4335,2.0179,1.8025,1.3227,2.9185,1.8912,77.2494,55.2476,1.238,3.2652,4.5389,2.1402
2014/2/10,0,1.5504,0.996,-0.4386,0,3.9229,2.4722,1.2829,,2.064,1.0674,0.2927,,0.907,1.4097,0.1251,5196652333,1275485227,1316378856,1316378856,3670004000,6753335174,2487000000,6753335174,43.5849,150.3705,-839.3444,-591.7591,31.1096,24.1313,34.4492,15.4137,3.1424,2.7882,22.5363,15.8886,3.4335,2.0971,1.847,1.3395,2.9185,1.9205,78.0189,55.0053,1.238,3.3933,4.6511,2.1674
2014/2/11,0,2.2901,1.7751,1.3216,0,6.0265,3.0157,1.0766,,2.8916,1.566,0.228,,1.6211,2.2883,0.2193,5196652333,1304694812,1339746528,1339746528,3670004000,7160324247,2562000000,7160324247,43.5849,153.8141,-854.2441,-599.5187,31.1096,25.5856,35.4881,15.5761,3.1424,2.852,22.9363,16.097,3.4335,2.2235,1.9027,1.3536,2.9185,1.9645,79.4038,55.7265,1.238,3.5978,4.7913,2.1903
2014/2/12,0,0.2985,2.5194,-0.6522,0,0.7495,0.8197,0.6892,,2.3411,2.4172,0.2452,,1.7036,1.6232,0.2448,5196652333,1308589424,1373499832,1373499832,3670004000,7213993136,2583000000,7213993136,43.5849,154.2732,-875.7657,-595.7753,31.1096,25.7774,35.779,15.6857,3.1424,2.8605,23.5142,15.9965,3.4335,2.2401,1.9183,1.3631,2.9185,1.9703,81.4043,55.3786,1.238,3.6247,4.8306,2.2057
2014/2/13,0,-1.4881,-3.4026,-1.9694,0,-3.0378,-0.6969,-0.9956,,1.814,1.7055,0.138,,0.8848,1.9574,0.1039,5196652333,1289116367,1326764488,1326764488,3670004000,6994845174,2565000000,6994845174,43.5849,151.9775,-845.9665,-584.25,31.1096,24.9943,35.5296,15.5352,3.1424,2.818,22.7141,15.687,3.4335,2.1721,1.9049,1.35,2.9185,1.941,78.6344,54.3073,1.238,3.5146,4.797,2.1845
2014/2/14,0,3.1722,1.5656,1.1161,0,0.3836,2.5731,0.1886,,2.9547,0.7535,0.0873,,0.5609,1.4482,0.0914,5196652333,1330009786,1347535752,1347535752,3670004000,7021679618,2631000000,7021679618,43.5849,156.7986,-859.2106,-590.4931,31.1096,25.0902,36.4438,15.5568,3.1424,2.9074,23.0697,15.8546,3.4335,2.1804,1.954,1.3519,2.9185,2.0026,79.8655,54.8876,1.238,3.5281,4.9204,2.1875
2014/2/17,0,1.0249,0.9634,-4.1943,0,1.0828,0.4561,-0.8783,,2.5187,1.1816,0.4184,,0.6831,1.3384,0.1144,5196652333,1343640926,1360517792,1360517792,3670004000,7097710544,2643000000,7097710544,43.5849,158.4056,-867.4881,-565.6113,31.1096,25.3619,36.6101,15.4159,3.1424,2.9372,23.2919,15.1866,3.4335,2.204,1.9629,1.3397,2.9185,2.0231,80.6349,52.5748,1.238,3.5663,4.9428,2.1677
2014/2/18,0,-1.0145,1.5267,-0.4608,0,-1.0712,-0.681,-1.8354,,1.8602,1.9765,0.1657,,0.8295,1.3477,0.2432,5196652333,1330009786,1381289056,1381289056,3670004000,7021679618,2625000000,7021679618,43.5849,156.7986,-880.7322,-563.2409,31.1096,25.0902,36.3607,15.1379,3.1424,2.9074,23.6475,15.1229,3.4335,2.1804,1.9495,1.3155,2.9185,2.0026,81.8659,52.3544,1.238,3.5281,4.9092,2.1286
2014/2/19,0,0.7321,5.6391,5.3241,0,0.1274,-0.2286,-0.9026,,2.6866,3.8361,0.9462,,0.8251,1.2391,0.2208,5196652333,1339746315,1459181296,1459181296,3670004000,7030624433,2619000000,7030624433,43.5849,157.9464,-930.3976,-593.522,31.1096,25.1222,36.2776,15.0086,3.1424,2.9287,24.981,15.936,3.4335,2.1832,1.945,1.3043,2.9185,2.0172,86.4824,55.1691,1.238,3.5326,4.8979,2.1105
2014/2/20,0,-1.8895,-2.1352,-0.2198,0,1.145,-2.52,-0.8458,,1.8085,2.7038,0.3322,,1.6046,1.022,0.3473,5196652333,1314431341,1428024400,1428024400,3670004000,7111127766,2553000000,7111127766,43.5849,154.962,-910.5315,-592.5633,31.1096,25.4098,35.3634,14.8922,3.1424,2.8733,24.4476,15.9102,3.4335,2.2082,1.896,1.2942,2.9185,1.9791,84.6358,55.08,1.238,3.573,4.7745,2.0941
2014/2/21,0,-1.7778,-2.1818,-1.5419,0,-1.0063,0.235,-1.6404,,1.5999,1.3933,0.2107,,0.6357,0.7878,0.269,5196652333,1291063672,1396867504,1396867504,3670004000,7039569248,2559000000,7039569248,43.5849,152.2071,-890.6653,-583.7154,31.1096,25.1541,35.4465,14.655,3.1424,2.8222,23.9142,15.6727,3.4335,2.186,1.9005,1.2736,2.9185,1.9439,82.7892,54.2576,1.238,3.5371,4.7857,2.0607
2014/2/24,0,0.4525,-2.6022,-1.3423,0,-4.2567,-1.7585,-0.4003,,1.209,1.2723,0.0798,,0.76,1.026,0.1852,5196652333,1296905590,1360517792,1360517792,3670004000,6739917952,2514000000,6739917952,43.5849,152.8958,-867.4881,-575.9825,31.1096,24.0834,34.8232,14.5995,3.1424,2.835,23.2919,15.465,3.4335,2.0929,1.8671,1.2687,2.9185,1.9527,80.6349,53.5388,1.238,3.3865,4.7016,2.0529
2014/2/25,0,-3.003,-5.5344,-0.2268,0,-4.3796,-4.6539,-0.3349,,1.5551,1.8017,0.2209,,0.8565,2.0477,0.2091,5196652333,1257959476,1285221960,1285221960,3670004000,6444739063,2397000000,6444739063,43.5849,148.3043,-819.4783,-574.4507,31.1096,23.0286,33.2025,14.5494,3.1424,2.7499,22.0029,15.4239,3.4335,2.0013,1.7802,1.2644,2.9185,1.8941,76.1723,53.3964,1.238,3.2382,4.4828,2.0459
2014/2/26,0,1.0836,1.6162,-0.6818,0,1.2491,1.1264,1.1425,,0.9715,0.8047,0.0494,,0.5502,0.9375,0.1712,5196652333,1271590616,1305993224,1305993224,3670004000,6525242397,2424000000,6525242397,43.5849,149.9114,-832.7224,-570.4327,31.1096,23.3163,33.5765,14.7176,3.1424,2.7797,22.3585,15.316,3.4335,2.0262,1.8002,1.279,2.9185,1.9146,77.4033,53.0229,1.238,3.2787,4.5333,2.0695
2014/2/27,0,0.1531,-1.7893,-1.1442,0,-1.9877,-1.2376,0.7309,,1.0838,1.0277,0.1251,,0.3867,0.9064,0.1342,5196652333,1273537921,1282625552,1282625552,3670004000,6395542582,2394000000,6395542582,43.5849,150.1409,-817.8228,-564.1849,31.1096,22.8529,33.161,14.8329,3.1424,2.7839,21.9584,15.1483,3.4335,1.986,1.7779,1.289,2.9185,1.9175,76.0184,52.4422,1.238,3.2135,4.4772,2.0858
2014/2/28,0,0.7645,5.8704,3.4722,0,1.2587,1.3784,0.6596,,0.7738,1.9781,0.193,,0.3002,0.5834,0.0839,5196652333,1283274450,1357921384,1357921384,3670004000,6476045915,2427000000,6476045915,43.5849,151.2888,-865.8326,-583.708,31.1096,23.1405,33.6181,14.9283,3.1424,2.8052,23.2475,15.6725,3.4335,2.011,1.8025,1.2973,2.9185,1.9322,80.481,54.2569,1.238,3.2539,4.5389,2.0992
