ÈÕÆÚ,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH
2014/2/26,-2.6,-2.7636,0,-3.7076,-0.6954,,,2.1786,2.7778,1.002,,,3.5679,2.4428,,0.7533,4.299,,,2.6189,0.4526,1.1299,,,9221752697,46936784188,2001172876,17372274472,2254854819,,,5312783224,11167991754,1272720053,,,335.5593,188.6621,-5.7017,24.0744,-17.7047,,,19.3085,11.3861,45.8641,,,4.2216,2.4724,6.7304,3.9562,5.4544,,,0.9252,1.6993,4.0138,,,0.3089,0.6661,0.718,0.4513,0.4286,,,0.3364,0.4959,1.5691,,
2014/2/27,-1.9507,-2.6316,0,-4.2904,-3.2213,,,-0.8529,-3.4749,-0.5952,,,3.0546,2.3315,,0.8119,4.2284,,,2.7332,0.5333,0.6301,,,9041862244,45701605656,2001172876,16626929362,2182219439,,,5267471640,10779914820,1265144338,,,329.0135,183.6973,-5.7017,23.0415,-17.1344,,,19.1438,10.9904,45.5911,,,4.1392,2.4073,6.7304,3.7865,5.2787,,,0.9173,1.6403,3.9899,,,0.3029,0.6486,0.718,0.432,0.4148,,,0.3336,0.4786,1.5597,,
2014/2/28,4.0838,1.0811,0,-2.8736,0,,,-0.4301,-0.1333,2.1956,,,2.4947,2.381,,1.2565,3.3833,,,1.8405,0.4784,0.6797,,,9411111069,46195677069,2001172876,16149144036,2182219439,,,5244815848,10765541600,1292921958,,,342.4496,185.6832,-5.7017,22.3794,-17.1344,,,19.0615,10.9757,46.5921,,,4.3082,2.4333,6.7304,3.6777,5.2787,,,0.9133,1.6381,4.0775,,,0.3153,0.6556,0.718,0.4196,0.4148,,,0.3321,0.478,1.594,,
2014/3/3,1.4085,-1.2834,0,3.0769,3.6179,,,-0.6479,5.474,2.3438,,,2.6601,2.138,,0.7735,3.1469,,,2.3395,0.9528,1.238,,,9543661929,45602791374,2001172876,16646040775,2261170939,,,5210832160,11354843610,1323224817,,,347.2728,183.3001,-5.7017,23.068,-17.7543,,,18.938,11.5766,47.6841,,,4.3689,2.4021,6.7304,3.7908,5.4697,,,0.9074,1.7277,4.1731,,,0.3197,0.6472,0.718,0.4325,0.4298,,,0.33,0.5041,1.6313,,
2014/3/4,3.869,-0.6501,0,1.8944,-0.5587,,,-0.2174,0,0.9542,,,6.3534,1.9749,,0.7784,2.4649,,,1.6068,0.6253,1.0409,,,9912910753,45306348526,2001172876,16961379091,2248538699,,,5199504264,11354843610,1335851008,,,360.709,182.1086,-5.7017,23.505,-17.6551,,,18.8968,11.5766,48.1391,,,4.538,2.3865,6.7304,3.8626,5.4392,,,0.9055,1.7277,4.2129,,,0.3321,0.643,0.718,0.4407,0.4274,,,0.3292,0.5041,1.6469,,
2014/3/5,5.0621,2.6172,0,0.507,1.1236,,,10.0218,-1.3924,-1.1342,,,6.527,2.8786,,0.5343,3.7061,,,7.6137,0.444,0.9447,,,10414710438,46492119916,2001172876,17047380450,2273803178,,,5720587480,11196738193,1320699579,,,378.9684,186.8748,-5.7017,23.6242,-17.8535,,,20.7906,11.4154,47.5931,,,4.7677,2.4489,6.7304,3.8822,5.5003,,,0.9962,1.7037,4.1651,,,0.3489,0.6598,0.718,0.4429,0.4322,,,0.3622,0.4971,1.6282,,
2014/3/6,0,0.5313,0,-0.1121,2.2222,,,-1.7822,-0.1284,0.5736,,,,2.0542,,0.524,3.2018,,,4.2021,0.3557,0.9163,,,10414710438,46739155623,2001172876,17028269036,2324332138,,,5618636416,11182364973,1328275293,,,378.9684,187.8677,-5.7017,23.5977,-18.2502,,,20.4201,11.4007,47.8661,,,4.7677,2.4619,6.7304,3.8779,5.6225,,,0.9784,1.7015,4.189,,,0.3489,0.6633,0.718,0.4424,0.4418,,,0.3558,0.4965,1.6376,,
2014/3/7,-0.0909,-1.3742,0,-3.2548,-1.4946,,,-1.0081,-0.1285,-1.1407,,,4.8939,1.6902,,0.4655,2.6481,,,2.412,0.2781,1.0634,,,10405242519,46096862786,2001172876,16474038058,2289593478,,,5561996936,11167991754,1313123864,,,378.6239,185.286,-5.7017,22.8296,-17.9774,,,20.2142,11.3861,47.3201,,,4.7633,2.4281,6.7304,3.7517,5.5385,,,0.9686,1.6993,4.1412,,,0.3486,0.6542,0.718,0.428,0.4352,,,0.3522,0.4959,1.6189,,
2014/3/10,-8.6442,-6.538,0,-4.3503,-5.1034,,,-5.7026,-4.2471,-5.7692,,,3.8231,2.5711,,0.5394,2.5512,,,2.5264,0.3848,1.4417,,,9505790254,43083027170,2001172876,15757360068,2172745259,,,5244815848,10693675501,1237366718,,,345.8948,173.172,-5.7017,21.8365,-17.06,,,19.0615,10.9025,44.5901,,,4.3516,2.2694,6.7304,3.5884,5.2558,,,0.9133,1.6271,3.9023,,,0.3185,0.6114,0.718,0.4094,0.413,,,0.3321,0.4748,1.5255,,
2014/3/11,-6.7729,-2.9817,0,-1.3341,1.0174,,,0.8639,0.5376,0.2041,,,3.0805,2.4454,,0.3433,1.7159,,,1.6618,0.1934,0.936,,,8861971791,41798441498,2001172876,15547134524,2194851679,,,5290127432,10751168380,1239891956,,,322.4676,168.0086,-5.7017,21.5451,-17.2335,,,19.2262,10.9611,44.6811,,,4.0569,2.2017,6.7304,3.5406,5.3093,,,0.9212,1.6359,3.9103,,,0.2969,0.5932,0.718,0.4039,0.4172,,,0.335,0.4773,1.5286,,
