ÈÕÆÚ,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH
2014/1/30,1.3534,-2.9685,-0.3663,0.8789,-2.1505,-3.2561,,-0.9709,-1.7836,-1.61,-1.1686,0.165,,0.4371,1.4586,0.3473,1.6268,0.3773,0.855,,0.2775,0.6389,0.2419,1.5143,0.4298,,2491281141,2815320652,13102490539,2065270371,2926431966,17014320225,,2815320652,2631636000,14968838984,1551674725,3755971419,,133.8093,75.5354,124.4267,12.7868,92.478,16.6544,,34.7481,129.3088,21.1584,19.7719,13.3916,,8.9726,3.283,2.8447,2.7459,1.0229,4.5436,,1.5103,4.561,1.7244,2.1211,1.5219,,14.525,6.4089,6.3449,2.3993,5.5551,5.9006,,2.9483,7.5964,4.0958,1.5292,7.1938,
2014/2/7,0.0742,6.3098,4.7794,1.5489,0.3663,1.5534,,2.2876,1.4528,-1.4545,-0.1689,0.9885,,0.3373,3.4889,0.911,1.413,0.5138,0.4178,,0.7319,0.831,0.3375,1.6751,0.4863,,2493129272,2992960388,13728712514,2097259070,2937151497,17278620345,,2992960388,2669868000,14751110417,1549053652,3793097990,,133.9086,80.3015,130.3735,12.9848,92.8167,16.9131,,35.5918,131.1874,20.8506,19.7386,13.524,,8.9793,3.4902,2.9807,2.7885,1.0266,4.6142,,1.5469,4.6273,1.6993,2.1175,1.5369,,14.5358,6.8133,6.6481,2.4365,5.5755,5.9923,,3.0198,7.7068,4.0363,1.5266,7.2649,
2014/2/10,0.8154,1.0791,2.6901,1.0486,1.8248,3.7604,,0.3195,3.222,4.059,3.8917,0.9788,,1.0797,4.0606,2.3276,2.1413,1.8042,0.9654,,0.6988,1.9554,0.6394,4.0905,0.7992,,2513458718,3025258521,14098022909,2119251301,2990749152,17928358140,,3025258521,2755890000,15349863976,1609338312,3830224560,,135.0005,81.1681,133.8806,13.121,94.5105,17.5491,,35.7055,135.4142,21.697,20.5067,13.6564,,9.0525,3.5278,3.0609,2.8177,1.0453,4.7877,,1.5519,4.7764,1.7683,2.1999,1.552,,14.6543,6.8868,6.827,2.462,5.6772,6.2176,,3.0295,7.9551,4.2001,1.586,7.336,
2014/2/11,-0.2941,-0.7117,-0.6834,-0.1887,-1.4337,-0.7985,,-0.3185,0.4624,0.5319,0.4886,-0.1616,,1.195,3.5358,1.328,1.9455,1.1267,0.7283,,0.6198,1.8787,0.5421,3.057,0.7504,,2506066192,3003726432,14001681066,2115252713,2947871028,17785195575,,3003726432,2768634000,15431512189,1617201529,3824036799,,134.6034,80.5904,132.9657,13.0962,93.1555,17.409,,35.5882,136.0404,21.8124,20.6069,13.6343,,9.0259,3.5027,3.04,2.8124,1.0303,4.7495,,1.5468,4.7985,1.7777,2.2107,1.5495,,14.6112,6.8378,6.7803,2.4574,5.5958,6.168,,3.0195,7.9919,4.2224,1.5938,7.3241,
2014/2/12,-1.9912,0.3584,0.9174,6.0491,1.0909,2.4149,,-0.639,4.1427,1.4109,1.2966,0.8091,,2.12,2.5075,1.2492,4.6154,1.4768,0.9293,,0.3484,3.7374,0.4701,2.9372,0.7956,,2456166644,3014492477,14130136856,2243207509,2980029621,18214683270,,3014492477,2883330000,15649240756,1638170106,3854975608,,131.9233,80.8792,134.1856,13.8884,94.1717,17.8294,,35.3707,141.6762,22.1201,20.8741,13.7446,,8.8462,3.5153,3.0679,2.9825,1.0416,4.8642,,1.5373,4.9972,1.8027,2.2394,1.562,,14.3203,6.8623,6.8425,2.606,5.6569,6.3169,,3.0011,8.3229,4.282,1.6144,7.3834,
2014/2/13,-1.4296,-1.9643,-4.7727,-2.852,-2.1583,-1.7533,,0,-2.8729,-2.7826,-0.8,-1.1236,,2.0337,2.6964,2.2339,3.7134,0.9571,1.0673,,0.4785,2.1526,0.5113,3.0912,0.8959,,2421052147,2955279232,13455743961,2179230111,2915712435,17895320625,,2955279232,2800494000,15213783622,1625064745,3811661275,,130.0372,79.2905,127.7813,13.4923,92.1392,17.5168,,35.3832,137.6059,21.5046,20.7071,13.5902,,8.7197,3.4462,2.9214,2.8975,1.0191,4.7789,,1.5379,4.8537,1.7526,2.2214,1.5445,,14.1155,6.7275,6.5159,2.5317,5.5348,6.2062,,3.0021,8.0838,4.1629,1.6015,7.3004,
2014/2/14,0.916,0.3643,0.5967,5.5046,0.7353,-0.3692,,0.6431,1.0239,6.4401,0.8065,1.7857,,2.1826,2.4476,0.7291,5.3382,0.8995,0.938,,0.6403,1.5608,1.1891,2.9434,0.797,,2443229724,2966045276,13536028829,2299187732,2937151497,17829245595,,2966045276,2829168000,16193562174,1638170106,3879726655,,131.2284,79.5794,128.5437,14.235,92.8167,17.4521,,35.5941,139.0148,22.8895,20.8741,13.8328,,8.7996,3.4588,2.9389,3.057,1.0266,4.7613,,1.547,4.9034,1.8654,2.2394,1.572,,14.2448,6.752,6.5548,2.6711,5.5755,6.1833,,3.02,8.1666,4.4309,1.6144,7.4308,
2014/2/17,-0.2269,1.4519,0.3559,-0.2609,4.7445,0.6794,,0.3195,1.2387,-0.1681,1.28,0,,2.1395,2.3013,0.8476,3.8582,3.2401,1.0276,,0.4214,1.8229,0.7817,3.2324,0.8575,,2437685330,3009109455,13584199750,2293189851,3076505400,17950383150,,3009109455,2864214000,16166346103,1659138684,3879726655,,130.9306,80.7348,129.0012,14.1979,97.2205,17.5707,,35.7005,140.7369,22.851,21.1413,13.8328,,8.7796,3.509,2.9493,3.049,1.0753,4.7936,,1.5517,4.9641,1.8623,2.268,1.572,,14.2125,6.8501,6.5781,2.6641,5.84,6.2253,,3.0291,8.2678,4.4235,1.6351,7.4308,
2014/2/18,-0.6065,-2.3256,0.591,0.1744,-2.439,-2.5153,,-1.5924,1.2236,1.5152,-0.6319,-0.7974,,1.4617,2.4005,1.0152,3.5687,2.1438,1.4139,,0.5023,2.9352,1.0045,4.0706,1.0153,,2422900279,2939130165,13664484619,2297188438,3001468683,17498870445,,2939130165,2899260000,16411290741,1648654395,3848787846,,130.1365,78.8572,129.7636,14.2226,94.8492,17.1287,,35.1468,142.4589,23.1973,21.0077,13.7225,,8.7263,3.4274,2.9668,3.0543,1.0491,4.673,,1.5276,5.0248,1.8905,2.2537,1.5595,,14.1263,6.6908,6.617,2.6687,5.6976,6.0687,,2.9821,8.3689,4.4905,1.6248,7.3715,
2014/2/19,2.4409,-0.1832,-1.5276,-1.9147,-0.3571,3.3354,,0,0.4396,2.3217,0.6359,-0.3215,,3.2199,2.2532,0.8505,3.6074,1.9491,1.2851,,0.5624,2.5728,1.0787,3.4554,0.8662,,2482040484,2933747143,13455743961,2253203977,2990749152,18082533210,,2933747143,2912004000,16792315733,1659138684,3836412322,,133.313,78.7128,127.7813,13.9503,94.5105,17.7,,35.1642,143.0851,23.7359,21.1413,13.6784,,8.9393,3.4211,2.9214,2.9958,1.0453,4.8289,,1.5283,5.0469,1.9344,2.268,1.5545,,14.4711,6.6785,6.5159,2.6176,5.6772,6.2711,,2.9836,8.4057,4.5948,1.6351,7.3478,
2014/2/20,2.2338,-3.8532,0.2387,-1.5084,0.3584,-2.2533,,-1.9417,-2.954,-3.8898,-3.3175,-0.3226,,5.4625,2.5291,1.1445,2.3527,1.865,0.7389,,0.5071,2.0858,0.8246,2.828,0.8454,,2537484426,2820703675,13487857908,2219215985,3001468683,17675070525,,2820703675,2825982000,16139130032,1604096168,3824036799,,136.2909,75.6798,128.0863,13.7399,94.8492,17.3012,,34.5015,138.8583,22.8126,20.4399,13.6343,,9.139,3.2893,2.9284,2.9506,1.0491,4.7201,,1.4995,4.8978,1.8592,2.1928,1.5495,,14.7944,6.4212,6.5315,2.5782,5.6976,6.1298,,2.9273,8.1574,4.416,1.5809,7.3241,
