ÈÕÆÚ,000889.SZ,002467.SZ,300578.SZ,600050.SH
2014/10/8,9.2054,5.5431,,3.4663
2014/10/9,8.998,5.4507,,3.4952
2014/10/10,8.7906,5.3275,,3.4567
2014/10/13,8.7116,5.52,,3.4182
2014/10/14,8.6622,5.3814,,3.4182
2014/10/15,8.8893,5.3506,,3.4374
2014/10/16,8.7017,5.2505,,3.4663
2014/10/17,8.5239,5.0773,,3.4182
2014/10/20,8.7609,5.1428,,3.4085
2014/10/21,8.7412,5.0927,,3.3508
2014/10/22,8.5535,5.0042,,3.3411
2014/10/23,8.3461,4.8848,,3.2834
2014/10/24,8.4054,4.9156,,3.293
2014/10/27,8.6918,5.035,,3.2641
2014/10/28,8.7906,5.1274,,3.3315
2014/10/29,8.7906,5.1043,,3.37
2014/10/30,8.7906,5.1428,,3.4374
2014/10/31,8.7906,5.0735,,3.4952
2014/11/3,8.7906,5.0889,,3.5241
2014/11/4,8.7906,5.0581,,3.5819
2014/11/5,9.4227,4.9849,,3.5145
2014/11/6,9.2054,5.0311,,3.4856
2014/11/7,9.235,5.0042,,3.4663
2014/11/10,9.0869,5.0119,,3.5819
2014/11/11,8.5437,4.7848,,3.6878
2014/11/12,9.2647,4.8233,,3.6396
2014/11/13,9.4918,5.3044,,3.63
2014/11/14,9.3042,5.493,,3.6107
2014/11/17,9.7388,5.7817,,3.5241
2014/11/18,10.0548,5.724,,3.4759
2014/11/19,9.8968,5.8048,,3.4759
2014/11/20,9.8573,5.6624,,3.4471
2014/11/21,9.9561,5.6701,,3.4952
2014/11/24,10.0647,6.1474,,3.5626
2014/11/25,10.7166,6.2283,,3.6107
2014/11/26,11.7932,6.1744,,3.6396
2014/11/27,11.7438,6.3784,,3.63
2014/11/28,12.5241,6.1513,,3.7841
2014/12/1,12.6031,5.9511,,3.7937
2014/12/2,12.7315,5.9858,,3.9766
2014/12/3,12.1389,5.9319,,3.967
2014/12/4,12.7414,6.2167,,4.304
2014/12/5,12.2969,5.9858,,4.2944
2014/12/8,11.25,5.9627,,4.6988
2014/12/9,11.0919,5.393,,4.2848
2014/12/10,11.3389,5.6586,,4.3618
2014/12/11,11.5166,5.6355,,4.2751
2014/12/12,11.4969,5.8048,,4.304
2014/12/15,12.1685,5.9511,,4.227
2014/12/16,12.0006,5.851,,4.3714
2014/12/17,11.7734,5.6316,,4.3714
2014/12/18,11.2401,5.6278,,4.487
2014/12/19,11.0919,5.4776,,4.7662
2014/12/22,10.0252,5.1659,,4.718
2014/12/23,9.9264,5.1158,,4.4581
2014/12/24,10.1339,5.1851,,4.3233
2014/12/25,10.2721,5.2236,,4.4484
2014/12/26,10.3808,5.1505,,4.5832
2014/12/29,9.8079,5.0311,,4.6506
2014/12/30,9.2746,5.0735,,4.6603
2014/12/31,9.5807,4.9926,,4.7662
2015/1/5,9.5807,5.1697,,5.0647
2015/1/6,9.6598,5.3506,,4.978
2015/1/7,9.6598,5.2544,,5.161
2015/1/8,9.6598,5.2351,,4.8528
2015/1/9,9.6598,5.1582,,4.7951
2015/1/12,9.6598,5.0388,,4.6699
2015/1/13,9.6598,5.3737,,4.6699
2015/1/14,9.6598,5.239,,4.5929
2015/1/15,9.6598,5.2813,,4.7854
2015/1/16,9.6598,5.5469,,4.8432
2015/1/19,9.6598,5.6393,,4.3714
2015/1/20,9.6598,5.8395,,4.4484
2015/1/21,9.6598,5.801,,4.6218
2015/1/22,9.6598,5.7894,,4.6314
2015/1/23,9.6598,5.6278,,4.6121
2015/1/26,9.6598,5.6971,,4.641
2015/1/27,9.6598,6.0012,,4.5447
2015/1/28,9.6598,5.8549,,4.4581
2015/1/29,9.6598,5.6932,,4.381
2015/1/30,9.6598,5.6586,,4.3522
2015/2/2,9.6598,5.8472,,4.2751
2015/2/3,9.6598,5.9357,,4.3618
2015/2/4,9.6598,5.9588,,4.3618
2015/2/5,9.6598,6.159,,4.3714
2015/2/6,9.6598,5.8741,,4.1885
2015/2/9,9.6598,5.7548,,4.2174
2015/2/10,9.6598,6.3322,,4.2462
2015/2/11,9.6598,6.9674,,4.3714
2015/2/12,9.6598,7.1059,,4.7373
2015/2/13,9.6598,7.0482,,4.6699
2015/2/16,9.6598,7.4485,,5.1417
2015/2/17,9.6598,7.1021,,5.3343
2015/2/25,9.6598,6.9404,,5.0936
2015/2/26,9.6598,7.0289,,5.1513
2015/2/27,9.6598,7.2561,,5.4402
2015/3/2,9.6598,7.2561,,5.3824
2015/3/3,9.6598,7.2561,,5.161
2015/3/4,9.6598,7.2561,,5.1995
2015/3/5,9.6598,7.2561,,5.0936
2015/3/6,9.6598,7.2561,,5.0165
2015/3/9,9.6598,7.2561,,5.0743
2015/3/10,9.6598,7.2561,,4.9876
2015/3/11,9.6598,7.2561,,4.9684
2015/3/12,9.6598,7.2561,,5.0647
2015/3/13,9.6598,7.2561,,5.0454
2015/3/16,9.6598,7.9836,,5.1417
2015/3/17,9.6598,8.7804,,5.238
2015/3/18,9.6598,8.9344,,5.3246
2015/3/19,9.6598,8.919,,5.4306
2015/3/20,9.6598,9.327,,5.3535
2015/3/23,9.6598,9.8082,,5.4017
2015/3/24,9.6598,10.0276,,5.2861
2015/3/25,9.6598,9.8197,,5.1513
2015/3/26,9.6598,9.1115,,5.2476
2015/3/27,9.6598,9.3617,,5.1898
2015/3/30,9.6598,9.1769,,5.4017
2015/3/31,9.6598,9.7966,,5.2669
2015/4/1,9.6598,9.889,,5.7965
2015/4/2,9.6598,9.9314,,5.7387
2015/4/3,9.6598,9.889,,5.7291
2015/4/7,9.6598,10.5049,,5.9024
2015/4/8,9.6598,10.3779,,5.9505
2015/4/9,9.6598,10.5588,,5.7965
2015/4/10,9.6598,10.6666,,5.8831
2015/4/13,9.6598,10.4818,,6.0468
2015/4/14,9.6598,10.2201,,5.9409
2015/4/15,9.6598,9.6042,,5.9216
2015/4/16,9.6598,9.8852,,6.3838
2015/4/17,9.6598,9.7889,,6.8075
2015/4/20,9.6598,9.3193,,7.4911
2015/4/21,9.6598,9.7158,,7.7029
2015/4/22,9.6598,9.8852,,7.6933
2015/4/23,9.6598,10.2586,,8.4636
2015/4/24,9.6598,10.0468,,8.7428
2015/4/27,10.6277,10.0507,,9.619
2015/4/28,11.6944,9.5002,,10.1486
2015/4/29,12.8599,9.5695,,9.5901
2015/4/30,14.1439,9.6812,,9.1665
2015/5/4,15.5564,9.6619,,9.5709
2015/5/5,17.1169,9.5079,,8.6176
2015/5/6,15.665,9.3335,,8.6658
2015/5/7,15.3884,8.7112,,8.2325
2015/5/8,15.4773,9.5138,,8.3769
2015/5/11,17.028,10.4675,,8.608
2015/5/12,17.028,10.9036,,8.8776
2015/5/13,17.6799,11.9969,,8.4732
2015/5/14,17.7096,12.5202,,8.531
2015/5/15,16.8206,11.898,,8.2036
2015/5/18,16.6428,12.119,,7.9244
2015/5/19,17.0182,12.0666,,8.1844
2015/5/20,17.7787,12.4505,,8.1458
2015/5/21,19.5566,12.6365,,8.3384
2015/5/22,21.5122,12.433,,8.685
2015/5/25,22.7172,12.4563,,8.9065
2015/5/26,23.2111,13.7007,,8.8006
2015/5/27,22.4505,13.3983,,8.5599
2015/5/28,20.3566,12.6772,,8.6465
2015/5/29,20.2085,13.2181,,8.2614
2015/6/1,22.0258,13.9566,,8.5214
2015/6/2,22.7172,14.1311,,8.8102
2015/6/3,22.7172,15.5442,,8.7236
2015/6/4,22.7172,17.0968,,8.6273
2015/6/5,22.7172,17.2887,,8.868
2015/6/8,22.7172,16.1664,,9.7538
2015/6/9,22.7172,16.1315,,9.9079
2015/6/10,22.7172,16.6258,,9.5613
2015/6/11,22.7172,16.1548,,9.3591
2015/6/12,22.7172,16.0617,,9.3879
2015/6/15,22.7172,14.887,,8.9258
2015/6/16,22.7172,14.5207,,8.2229
2015/6/17,22.7172,15.0266,,8.531
2015/6/18,22.7172,14.4218,,8.1362
2015/6/19,22.7172,13.1425,,7.3756
2015/6/23,22.7172,13.2471,,7.4911
2015/6/24,22.7172,13.4274,,7.9051
2015/6/25,22.7172,13.1367,,7.5104
2015/6/26,22.7172,11.8631,,6.7593
2015/6/29,22.7172,10.7582,,6.4127
2015/6/30,22.7172,11.3107,,7.0578
2015/7/1,22.7172,10.1825,,6.9423
2015/7/2,22.7172,9.1648,,6.8556
2015/7/3,22.7172,8.246,,6.5833
2015/7/6,22.7172,7.4203,,7.0209
2015/7/7,22.7172,6.6759,,7.0112
2015/7/8,22.7172,6.0072,,6.3694
