ÈÕÆÚ,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH
2014/2/7,0.4458,4.4708,6.6052,1.7699,2.6455,,,,,,5.1829,,,,,3.486,2.3904,20.2112,1.0775,2.5751,,,,,,2.3308,,,,,2017420600,4856816059,1119022950,4335789273,761332599,,,,,,4745328416,,,,,320.4087,85.4366,381.0334,34.399,125.8729,,,,,,21.0494,,,,,2.5521,5.4388,3.3595,2.8292,1.4842,,,,,,2.1391,,,,,1.3251,5.6813,4.2531,2.2642,1.3954,,,,,,1.3378,,,,
2014/2/10,1.1834,6.5502,2.3055,7.343,2.9639,,,,,,10,,,,,4.3788,5.3653,20.2122,3.8224,4.5437,,,,,,2.4148,,,,,2041295400,5174948115,1144821750,4654166070,783897869.3,,,,,,5219861258,,,,,324.2005,91.0328,389.818,36.9249,129.6037,,,,,,23.1543,,,,,2.5823,5.795,3.437,3.037,1.5282,,,,,,2.353,,,,,1.3408,6.0535,4.3511,2.4304,1.4368,,,,,,1.4716,,,,
2014/2/11,0.4386,0.1639,-2.1127,1.3501,-0.7509,,,,,,4.0843,,,,,4.2381,3.088,15.1948,2.7493,4.0947,,,,,,9.3099,,,,,2050248450,5183431637,1120635375,4717003596,778011277,,,,,,5433057172,,,,,325.6225,91.1821,381.5824,37.4234,128.6304,,,,,,24.1,,,,,2.5936,5.8045,3.3643,3.078,1.5167,,,,,,2.4491,,,,,1.3467,6.0634,4.2592,2.4632,1.426,,,,,,1.5317,,,,
2014/2/12,1.4556,4.0917,0.2878,2.8419,6.3052,,,,,,2.4051,,,,,4.8812,3.93,11.1985,2.4148,6.8815,,,,,,6.9375,,,,,2080091950,5395519674,1123860225,4851056984,827066212.5,,,,,,5563725636,,,,,330.3622,94.9129,382.6805,38.487,136.7408,,,,,,24.6796,,,,,2.6314,6.042,3.374,3.1654,1.6123,,,,,,2.5081,,,,,1.3663,6.3115,4.2714,2.5332,1.5159,,,,,,1.5686,,,,
2014/2/13,-1.1478,-2.1226,-4.5911,-0.4318,-3.2028,,,,,,-1.9778,,,,,4.419,4.6113,12.603,2.9258,4.1625,,,,,,3.1233,,,,,2056217150,5280992134,1072262625,4830111142,800576547.4,,,,,,5453689035,,,,,326.5704,92.8983,365.1113,38.3208,132.3612,,,,,,24.1915,,,,,2.6012,5.9138,3.2191,3.1518,1.5607,,,,,,2.4584,,,,,1.3506,6.1775,4.0753,2.5223,1.4673,,,,,,1.5375,,,,
2014/2/14,0.1451,0.4819,1.8797,0.1735,4.1667,,,,,,2.0177,,,,,3.2831,2.8463,8.565,1.8434,4.8417,,,,,,2.9593,,,,,2059201500,5306442698,1092417938,4838489479,833933903.5,,,,,,5563725636,,,,,327.0444,93.346,371.9742,38.3872,137.8762,,,,,,24.6796,,,,,2.605,5.9423,3.2796,3.1572,1.6257,,,,,,2.5081,,,,,1.3525,6.2073,4.1519,2.5267,1.5285,,,,,,1.5686,,,,
2014/2/17,0.7246,3.1175,3.0258,10.0433,7.2941,,,,,,1.4833,,,,,3.5361,4.9282,13.8115,5.7579,7.7406,,,,,,3.5401,,,,,2074123250,5471871368,1125472650,5324433011,894762023.5,,,,,,5646253087,,,,,329.4143,96.256,383.2296,42.2426,147.9331,,,,,,25.0457,,,,,2.6238,6.1275,3.3789,3.4743,1.7443,,,,,,2.5453,,,,,1.3623,6.4008,4.2776,2.7804,1.64,,,,,,1.5918,,,,
2014/2/18,3.3094,-1.4729,10.0287,2.3603,-0.7675,,,,,,-1.5834,,,,,4.4575,3.2072,15.5698,8.8189,8.239,,,,,,3.8151,,,,,2142763300,5391277913,1238342400,5450108062,887894332.6,,,,,,5556848348,,,,,340.3158,94.8383,421.6623,43.2397,146.7976,,,,,,24.6491,,,,,2.7107,6.0373,3.7177,3.5563,1.7309,,,,,,2.505,,,,,1.4074,6.3065,4.7066,2.8461,1.6274,,,,,,1.5666,,,,
2014/2/19,-2.2284,-0.4721,-5.7292,0,-1.6575,,,,,,-3.2178,,,,,2.9538,2.7287,18.9845,3.0176,5.1693,,,,,,3.5679,,,,,2095013700,5365827349,1167395700,5450108062,873177851.9,,,,,,5378038872,,,,,332.7321,94.3906,397.5046,43.2397,144.3645,,,,,,23.8559,,,,,2.6503,6.0088,3.5047,3.5563,1.7022,,,,,,2.4243,,,,,1.3761,6.2768,4.4369,2.8461,1.6004,,,,,,1.5162,,,,
2014/2/20,-4.2735,1.1067,-2.6243,9.4543,-4.1573,,,,,,0.5115,,,,,1.8735,4.7652,11.9055,5.7818,5.2706,,,,,,2.2617,,,,,2005483200,5425211999,1136759625,5965375773,836877199.6,,,,,,5405548022,,,,,318.5128,95.4352,387.0728,47.3277,138.3629,,,,,,23.978,,,,,2.537,6.0753,3.4128,3.8926,1.6315,,,,,,2.4367,,,,,1.3172,6.3462,4.3205,3.1151,1.5339,,,,,,1.524,,,,
2014/2/21,1.4881,1.1728,0,-5.8287,2.2274,,,,,,-0.1272,,,,,1.1211,3.8566,,3.1941,3.2211,,,,,,1.6325,,,,,2035326700,5488838411,1136759625,5617674798,855518075.1,,,,,,5398670735,,,,,323.2526,96.5545,387.0728,44.5691,141.4448,,,,,,23.9475,,,,,2.5748,6.1465,3.4128,3.6657,1.6678,,,,,,2.4336,,,,,1.3369,6.4206,4.3205,2.9336,1.568,,,,,,1.522,,,,
2014/2/24,-0.2933,2.3184,-5.9574,1.1931,5.2752,,,,,,-0.2548,,,,,0.8573,4.2186,8.8718,2.5473,5.1619,,,,,,1.6619,,,,,2029358000,5616091233,1069037775,5684701492,900648615.8,,,,,,5384916159,,,,,322.3046,98.793,364.0132,45.1009,148.9063,,,,,,23.8864,,,,,2.5672,6.289,3.2094,3.7094,1.7558,,,,,,2.4274,,,,,1.3329,6.5695,4.0631,2.9686,1.6508,,,,,,1.5181,,,,
2014/2/25,-5.5882,-8.2326,-8.9744,-10.0221,-3.7037,,,,,,-4.7254,,,,,1.2818,6.617,11.6144,3.6629,9.206,,,,,,3.1929,,,,,1915952700,5153739311,973098487.5,5114974592,867291259.6,,,,,,5130456520,,,,,304.2935,90.6597,331.3453,40.5808,143.3913,,,,,,22.7577,,,,,2.4237,5.7713,2.9214,3.3377,1.6908,,,,,,2.3127,,,,,1.2584,6.0287,3.6984,2.6711,1.5896,,,,,,1.4464,,,,
2014/2/26,4.0498,3.1276,5.2196,5.3235,-2.7149,,,,,,3.2172,,,,,0.9823,3.5997,9.3709,4.2048,4.0319,,,,,,2.5516,,,,,1993545800,5314926220,1023889875,5387270537,843744890.6,,,,,,5295511421,,,,,316.6169,93.4952,348.6401,42.7411,139.4983,,,,,,23.4899,,,,,2.5219,5.9518,3.0739,3.5153,1.6449,,,,,,2.3871,,,,,1.3094,6.2172,3.8915,2.8133,1.5465,,,,,,1.4929,,,,
2014/2/27,-1.1976,0.1596,1.1024,10.0311,3.9535,,,,,,-0.1299,,,,,0.7851,5.2693,14.2573,5.4919,6.3479,,,,,,4.1179,,,,,1969671000,5323409741,1035176850,5927673258,877102246.7,,,,,,5288634134,,,,,312.8251,93.6444,352.4833,47.0285,145.0134,,,,,,23.4594,,,,,2.4917,5.9613,3.1078,3.868,1.7099,,,,,,2.384,,,,,1.2937,6.2271,3.9344,3.0955,1.6076,,,,,,1.491,,,,
2014/2/28,1.0606,3.6653,-1.947,0.8481,-0.3356,,,,,,2.3407,,,,,0.5904,5.303,9.1812,6.4451,3.2768,,,,,,2.9386,,,,,1990561450,5518530736,1015021538,5977943278,874158950.6,,,,,,5412425310,,,,,316.1429,97.0768,345.6203,47.4274,144.5267,,,,,,24.0085,,,,,2.5181,6.1798,3.0473,3.9008,1.7041,,,,,,2.4398,,,,,1.3074,6.4554,3.8578,3.1217,1.6022,,,,,,1.5259,,,,
2014/3/3,2.3988,-0.2306,2.4623,3.5039,3.4792,,,,,,0.5083,,,,,1.1424,6.4303,7.8487,3.5101,4.2563,,,,,,3.018,,,,,2038311050,5505805454,1040014125,6187401697,904573010.6,,,,,,5439934460,,,,,323.7266,96.853,354.1305,49.0891,149.5552,,,,,,24.1305,,,,,2.5785,6.1655,3.1223,4.0374,1.7634,,,,,,2.4522,,,,,1.3388,6.4405,3.9528,3.2311,1.658,,,,,,1.5337,,,,
2014/3/4,-2.7818,4.2373,5.1163,0.2031,-0.1085,,,,,,-0.5057,,,,,0.9584,9.993,9.8204,2.8144,3.3487,,,,,,2.4972,,,,,1981608400,5739102295,1093224150,6199969202,903591911.9,,,,,,5412425310,,,,,314.721,100.9569,372.2488,49.1889,149.393,,,,,,24.0085,,,,,2.5068,6.4268,3.2821,4.0456,1.7615,,,,,,2.4398,,,,,1.3016,6.7134,4.155,3.2376,1.6562,,,,,,1.5259,,,,
2014/3/5,-0.4518,-2.439,-2.9499,-4.0541,6.949,,,,,,-0.5083,,,,,0.7571,6.3382,10.1162,2.245,8.2154,,,,,,2.9249,,,,,1972655350,5599124190,1060975650,5948619100,966382229.4,,,,,,5384916159,,,,,313.2991,98.4945,361.268,47.1947,159.7742,,,,,,23.8864,,,,,2.4955,6.27,3.1852,3.8816,1.8839,,,,,,2.4274,,,,,1.2957,6.5497,4.0324,3.1064,1.7712,,,,,,1.5181,,,,
2014/3/6,-0.3026,-2.0455,-5.0152,-5.6338,-0.9137,,,,,,-1.2771,,,,,0.5796,3.9443,8.0379,2.5514,5.9254,,,,,,2.5152,,,,,1966686650,5484596650,1007765625,5613485629,957552341,,,,,,5316143284,,,,,312.3511,96.4799,343.1497,44.5359,158.3144,,,,,,23.5814,,,,,2.4879,6.1418,3.0255,3.663,1.8667,,,,,,2.3964,,,,,1.2918,6.4157,3.8302,2.9314,1.7551,,,,,,1.4988,,,,
2014/3/7,-0.9105,3.4803,3.04,4.1045,-1.6393,,,,,,-2.3286,,,,,0.5886,5.426,5.9831,2.2106,4.6741,,,,,,1.8322,,,,,1948780550,5675475884,1038401700,5843889890,941854761.6,,,,,,5192352108,,,,,309.5072,99.8376,353.5814,46.3638,155.719,,,,,,23.0323,,,,,2.4653,6.3555,3.1175,3.8133,1.8361,,,,,,2.3406,,,,,1.28,6.639,3.9466,3.0517,1.7263,,,,,,1.4639,,,,
2014/3/10,-4.2879,-5.4559,-5.9783,-4.8746,-5.8333,,,,,,-6.2252,,,,,0.84,4.0281,5.3399,1.8064,4.6169,,,,,,2.4029,,,,,1865218750,5365827349,976323337.5,5559026440,886913233.8,,,,,,4869119592,,,,,296.2359,94.3906,332.4434,44.1038,146.6354,,,,,,21.5985,,,,,2.3596,6.0088,2.9311,3.6274,1.729,,,,,,2.1949,,,,,1.2251,6.2768,3.7107,2.9029,1.6256,,,,,,1.3727,,,,
2014/3/11,-0.64,-3.3202,1.569,-3.6925,-2.1018,,,,,,-0.565,,,,,0.4678,2.8968,4.7663,1.0736,3.4239,,,,,,1.5461,,,,,1853281350,5187673397,991641375,5353757190,868272358.4,,,,,,4841610442,,,,,294.34,91.2567,337.6593,42.4752,143.5535,,,,,,21.4764,,,,,2.3445,5.8093,2.9771,3.4935,1.6927,,,,,,2.1825,,,,,1.2173,6.0684,3.7689,2.7958,1.5914,,,,,,1.365,,,,
2014/3/12,0.6441,-1.7989,0.9756,1.7214,10.0565,,,,,,1.5625,,,,,0.5015,3.5505,5.8992,1.2743,17.0343,,,,,,1.3242,,,,,1865218750,5094354661,1001315925,5445918894,955590143.5,,,,,,4917260605,,,,,296.2359,89.6151,340.9535,43.2064,157.9899,,,,,,21.812,,,,,2.3596,5.7048,3.0061,3.5536,1.8629,,,,,,2.2166,,,,,1.2251,5.9592,3.8057,2.8439,1.7515,,,,,,1.3863,,,,
2014/3/13,0.96,0.3331,-2.7375,3.0769,-5.9548,,,,,,0.1399,,,,,0.4875,1.8035,3.5365,1.2482,13.9057,,,,,,1.0294,,,,,1883124850,5111321704,973904700,5613485629,898686418.4,,,,,,4924137893,,,,,299.0797,89.9136,331.6198,44.5359,148.5819,,,,,,21.8425,,,,,2.3822,5.7238,2.9238,3.663,1.752,,,,,,2.2197,,,,,1.2369,5.979,3.7015,2.9314,1.6472,,,,,,1.3882,,,,
