ÈÕÆÚ,600759.SH,600777.SH,601857.SH
2015/1/7,7.591,3.1364,11.4553
2015/1/8,7.591,3.1364,11.2888
2015/1/9,7.591,3.1364,11.1594
2015/1/12,7.591,3.1364,10.7434
2015/1/13,7.591,3.1364,10.7618
2015/1/14,7.591,3.1364,10.4567
2015/1/15,7.591,3.1364,11.3628
2015/1/16,7.591,3.1364,11.6494
2015/1/19,7.591,3.1364,10.5769
2015/1/20,7.591,3.1364,10.9375
2015/1/21,7.591,3.1364,11.7326
2015/1/22,7.591,3.1364,11.6772
2015/1/23,7.591,3.1364,11.8528
2015/1/26,7.591,3.1364,12.1025
2015/1/27,7.591,3.1364,11.6587
2015/1/28,7.591,3.1364,11.3258
2015/1/29,7.591,3.1364,11.0762
2015/1/30,7.591,3.1364,10.7618
2015/2/2,7.591,3.1364,10.3735
2015/2/3,7.591,3.1364,10.8081
2015/2/4,7.591,3.1364,10.5492
2015/2/5,7.591,3.1364,10.3088
2015/2/6,7.591,3.1364,10.0684
2015/2/9,7.591,3.1364,10.1979
2015/2/10,7.591,3.1364,10.3828
2015/2/11,7.591,3.1364,10.3181
2015/2/12,7.591,3.1364,10.3365
2015/2/13,7.591,3.1364,10.3365
2015/2/16,7.591,3.1364,10.2348
2015/2/17,7.591,3.1364,10.2441
2015/2/25,7.591,3.1364,10.3828
2015/2/26,7.591,3.1364,10.4845
2015/2/27,7.591,3.1364,10.5584
2015/3/2,7.591,3.1364,10.466
2015/3/3,7.591,3.1364,10.1054
2015/3/4,7.591,3.1364,10.0962
2015/3/5,7.591,3.1364,9.902
2015/3/6,7.591,3.1364,9.9575
2015/3/9,7.591,3.1364,10.0684
2015/3/10,7.591,3.1364,9.9575
2015/3/11,7.591,3.1364,9.939
2015/3/12,7.591,3.1364,10.1979
2015/3/13,7.591,3.1364,10.2256
2015/3/16,7.591,3.1364,10.355
2015/3/17,7.591,3.1364,10.6139
2015/3/18,7.591,3.1364,10.7711
2015/3/19,7.591,3.1364,10.7618
2015/3/20,7.591,3.1364,10.7988
2015/3/23,7.591,3.1364,10.9098
2015/3/24,7.591,3.1364,10.7156
2015/3/25,7.591,3.1364,10.4752
2015/3/26,7.591,3.1364,11.0854
2015/3/27,7.591,3.1364,10.8173
2015/3/30,7.591,3.1364,10.9837
2015/3/31,7.591,3.1364,10.8451
2015/4/1,7.591,3.1364,10.9652
