ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2014/6/4,2.5018,8.5771,17.479,,19.0628,14.3757,12.7586
2014/6/5,2.5314,8.6566,17.688,,19.3756,14.6258,13.0619
2014/6/6,2.5215,8.6964,17.5413,,19.5273,14.6085,13.0344
2014/6/9,2.5018,8.7461,17.648,,19.7927,14.7034,13.1263
2014/6/10,2.5314,8.8454,17.9814,,20.1624,14.9104,13.2917
2014/6/11,2.5314,8.7361,17.8391,,19.878,14.8759,13.2274
2014/6/12,2.5806,9.1734,17.768,,20.0486,14.781,13.1355
2014/6/13,2.5806,9.2231,18.1503,,20.3994,15.1432,13.2917
2014/6/16,2.5708,9.1635,18.1814,,20.4657,15.4882,13.3745
2014/6/17,2.5314,9.0442,17.9502,,20.0297,15.4968,13.0987
2014/6/18,2.5215,9.2132,17.8925,,19.9349,15.3157,12.9333
2014/6/19,2.4723,8.7063,17.6969,,19.6505,15.3071,12.7586
2014/6/20,2.4822,8.756,17.7947,,19.5652,15.5571,12.9149
2014/6/23,2.492,8.7958,17.6391,,19.5842,15.3933,12.731
2014/6/24,2.5117,8.925,17.6657,,19.9823,15.7038,12.777
2014/6/25,2.5018,8.8753,17.5235,,19.4041,15.652,12.6924
2014/6/26,2.5412,9.0442,17.648,,19.6979,15.6003,12.777
2014/6/27,2.6003,9.084,17.4771,,19.5368,15.1605,12.6736
2014/6/30,2.5806,9.1734,17.6884,,20.0297,15.3416,12.7864
2014/7/1,2.62,9.2529,17.6614,,19.9823,15.1087,12.7958
2014/7/2,2.886,9.243,17.7334,,20.1055,15.3157,12.8428
2014/7/3,2.8367,9.2231,17.7828,,20.1624,15.5227,12.8521
2014/7/4,2.7481,9.4815,17.9312,,20.6553,15.721,12.9273
2014/7/7,2.8367,9.9188,18.0032,,20.9207,15.7727,13.0588
2014/7/8,2.7973,9.8095,18.0211,,21.006,15.7641,13.04
2014/7/9,2.7087,9.889,17.8548,,20.6079,15.4537,12.8803
2014/7/10,2.7284,9.6604,17.7154,,20.3425,15.2639,12.8334
2014/7/11,2.7875,9.7797,17.7199,,20.4563,15.2467,12.8428
2014/7/14,2.817,10.0381,17.9672,,20.788,15.5916,13.0025
2014/7/15,2.817,9.9188,17.9537,,20.5876,15.6089,12.9837
2014/7/16,2.8466,9.5809,17.8593,,20.6735,15.5658,12.9461
2014/7/17,2.7875,9.6008,17.9447,,20.4444,15.4795,12.8428
2014/7/18,2.7579,9.6604,17.8997,,20.5303,15.7971,12.8428
2014/7/21,2.7579,9.9288,17.9222,,21.1221,15.9646,12.8709
2014/7/22,2.7875,9.9785,18.0841,,21.2557,16.6879,13.0494
2014/7/23,2.8072,9.899,18.4708,,22.0956,16.9349,13.2467
2014/7/24,2.8269,10.376,18.9699,,23.1455,17.1201,13.491
2014/7/25,2.8466,10.3959,19.0823,,23.3555,17.2789,13.538
2014/7/28,2.8663,10.5152,19.7073,,23.8232,17.5876,13.9419
2014/7/29,2.9451,10.535,19.7522,,23.2219,17.6317,14.0453
2014/7/30,2.9549,10.3661,19.7477,,23.346,17.5346,14.0547
2014/7/31,2.9451,10.4754,20.0625,,23.6609,17.7022,14.2332
2014/8/1,2.8761,10.3363,19.6578,,23.3841,17.3582,14.158
2014/8/4,2.9648,10.704,20.2783,,24.1668,17.8875,14.6184
2014/8/5,2.9549,10.704,19.9995,,23.9186,17.6405,14.4399
2014/8/6,3.0239,10.7239,19.6353,,23.4605,17.323,14.2708
2014/8/7,3.0042,10.3561,19.3296,,22.8687,17.0936,14.0641
2014/8/8,2.9845,10.4158,19.2531,,22.926,17.0672,14.0171
2014/8/11,2.9943,10.6543,19.5814,,23.5178,17.4376,14.3647
2014/8/12,2.9549,10.5648,19.3296,,23.2887,17.2083,14.2332
2014/8/13,3.0534,10.9922,19.6713,,24.1191,17.5346,14.4211
2014/8/14,2.9845,11.519,19.4015,,23.2887,17.3671,14.1205
2014/8/15,2.9943,11.5587,19.7162,,23.7659,18.0815,14.3929
2014/8/18,3.0239,11.509,19.6488,,23.5846,17.9933,14.4399
2014/8/19,3.0534,11.3301,19.5004,,23.3746,17.9933,14.4023
2014/8/20,3.0436,11.4693,19.2936,,23.1837,17.6405,14.252
2014/8/21,3.0042,11.2506,19.1227,,23.2314,17.6317,14.1017
2014/8/22,3.0239,11.2904,19.2666,,23.346,17.7287,14.1205
2014/8/25,2.9746,11.0518,18.9968,,22.7733,17.1289,14.0171
2014/8/26,2.886,10.5748,19.0553,,22.6588,17.1642,13.8762
2014/8/27,2.886,10.5847,19.0733,,22.8115,16.8819,13.895
2014/8/28,2.8564,10.5947,18.9294,,23.0214,16.8378,13.9607
2014/8/29,2.9155,10.7835,19.1092,,23.1455,16.9702,14.0547
2014/9/1,2.9549,10.863,19.1677,,23.4987,17.1995,14.1298
2014/9/2,2.9746,11.0121,19.3341,,23.7468,17.4641,14.2426
2014/9/3,2.9845,11.0717,19.5139,,23.8136,17.7199,14.4493
2014/9/4,3.014,11.1612,19.7747,,23.9473,17.9051,14.9472
2014/9/5,3.014,11.1314,19.8466,,24.3195,18.1256,14.9378
2014/9/9,3.0436,11.0419,19.6128,,24.1859,17.8875,14.9284
2014/9/10,3.0731,11.2506,19.406,,23.6514,17.5611,14.7781
2014/9/11,3.083,11.191,19.3431,,23.4223,17.2965,14.6184
2014/9/12,3.1519,11.3102,19.3928,,23.5082,17.3847,14.7405
2014/9/15,3.4671,11.4295,19.1124,,23.3173,17.1995,14.6184
2014/9/16,3.6346,10.9425,18.9179,,22.6683,16.8908,14.3647
2014/9/17,3.5755,10.8233,18.9541,,22.7828,17.0407,14.4587
2014/9/18,3.5262,11.0419,18.9948,,22.8115,17.0936,14.4868
2014/9/19,3.477,11.0121,19.1712,,22.9833,17.2348,14.6184
2014/9/22,3.477,10.9028,18.5561,,22.277,16.5732,14.2614
2014/9/23,3.4967,11.3401,18.6692,,22.506,16.6614,14.3459
2014/9/24,3.5459,11.4593,19.1531,,23.1551,17.1642,14.6654
2014/9/25,3.5262,11.4395,18.9722,,22.9546,17.2083,14.6747
2014/9/26,3.4967,11.5885,18.9089,,23.1073,17.0231,14.8063
2014/9/29,3.5262,11.8966,18.8139,,23.1742,17.1113,14.6841
2014/9/30,3.6346,12.2345,18.6963,,23.365,17.1201,14.609
2014/10/8,3.674,12.2345,18.936,,23.346,17.1642,14.6466
