ÈÕÆÚ,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH
2014/1/30,0.3247,-0.3774,-1.3761,-3.2227,-0.8869,-1.119,-4.5,-2.8612,-0.5141,-2.6465,0.246,0.235,0.9932,3.2918,0.0621,1.6303,2.2093,1.3073,0.72,0.7895,1974220523,9007070411,2045153960,812890795.2,,3413902791,1323055728,2899669500,1969200111,3708086530,36.3533,96.8271,36.7873,31.5939,21.6339,60.5706,22.5183,18.8017,-50.4121,32.728,2.359,3.8886,1.5392,1.9706,1.729,2.2137,2.7245,3.7733,9.1864,1.2891,6.6668,3.5815,3.4071,1.3315,1.6872,1.5455,2.8468,4.6471,167.7204,3.8811
2014/2/7,0.6472,2.0455,0.3488,1.2243,0.2237,1.8519,-0.2618,2.7982,1.292,1.165,0.3446,0.3389,1.0975,2.4827,0.1384,1.1745,1.6049,1.2653,0.9925,0.463,1986998649,9191305942,2052288218,822842935.2,,3477123213,1319592231,2980809000,1994641973,3751287538,36.5886,98.8076,36.9157,31.9807,21.7121,61.6923,22.4594,19.3278,-51.0634,33.1093,2.3743,3.9682,1.5446,1.9948,1.7352,2.2547,2.7174,3.8789,9.305,1.3042,6.7099,3.6548,3.419,1.3478,1.6933,1.5741,2.8394,4.7772,169.8873,3.9263
2014/2/10,2.09,1.856,2.3175,2.9995,0.4464,6.8687,3.5871,3.4384,2.8061,2.4952,0.7092,0.4813,1.5933,5.2881,0.5075,3.2427,2.2412,2.7512,2.2495,1.233,2028527560,9361894397,2099849938,847524242.4,,3715955919,1366926686,3083301000,2050614069,3844889723,37.3533,100.6415,37.7712,32.94,21.809,65.9298,23.265,19.9924,-52.4963,33.9354,2.4239,4.0418,1.5804,2.0546,1.743,2.4096,2.8149,4.0123,9.5662,1.3367,6.8501,3.7226,3.4982,1.3882,1.7008,1.6822,2.9412,4.9414,174.6545,4.0243
2014/2/11,-0.4724,-0.2915,0.6795,1.8788,-0.4444,3.9698,1.2669,0.831,0.4963,1.6854,0.5874,0.4251,1.9158,7.7711,0.1958,6.1367,2.1881,2.3611,2.1245,1.5041,2018943965,9334600244,2114118454,863447666.4,,3863470237,1384244169,3108924000,2060790814,3909691235,37.1769,100.348,38.0278,33.5588,21.7099,68.547,23.5597,20.1585,-52.7569,34.5074,2.4124,4.03,1.5911,2.0932,1.735,2.5052,2.8505,4.0456,9.6136,1.3592,6.8178,3.7118,3.522,1.4143,1.6931,1.749,2.9785,4.9825,175.5213,4.0921
2014/2/12,0.9494,2.4854,1.3498,1.7981,0.4464,5.4545,1.1676,2.4725,9.1358,1.2891,0.5566,0.5772,1.9625,7.7586,0.1366,7.1077,2.3042,3.681,5.1651,1.7282,2038111154,9566600542,2142655486,878973004.8,,4074204977,1400407154,3185793000,2249060592,3960092411,37.5298,102.8421,38.5411,34.1622,21.8129,72.2859,23.8348,20.6569,-57.5766,34.9522,2.4353,4.1302,1.6126,2.1308,1.7433,2.6419,2.8838,4.1457,10.4919,1.3768,6.8825,3.804,3.5695,1.4397,1.7011,1.8444,3.0133,5.1057,191.5566,4.1448
2014/2/13,-1.0972,-1.2126,-1.7758,-2.7174,0.6667,-7.8448,0.2473,-2.815,-3.8462,-2.1818,0.7893,0.4295,1.6833,5.9781,0.2899,4.5565,3.3568,2.618,3.4223,1.2062,2015749433,9450600393,2104606110,855087868.8,,3754590621,1403870650,3096112500,2162558262,3873690395,37.118,101.5951,37.8567,33.2339,21.9661,66.6152,23.8938,20.0754,-55.3621,34.1896,2.4086,4.0801,1.584,2.0729,1.7555,2.4346,2.8909,4.029,10.0884,1.3467,6.807,3.7579,3.5062,1.4006,1.7131,1.6997,3.0207,4.9619,184.189,4.0544
2014/2/14,0.9509,0.722,1.6949,3.7709,0.2208,10.0094,1.2336,1.931,2.1176,2.0446,0.6462,0.3075,1.333,8.3314,0.1988,5.7121,2.1569,1.8083,2.0958,1.0684,2034916623,9518835775,2140277400,887332802.4,,4130400908,1421188134,3155899500,2208353613,3952892243,37.471,102.3286,38.4984,34.4872,22.0042,73.283,24.1885,20.4631,-56.5345,34.8887,2.4315,4.1096,1.6108,2.1511,1.7586,2.6783,2.9266,4.1068,10.302,1.3742,6.8717,3.785,3.5656,1.4534,1.7161,1.8698,3.058,5.0578,188.0895,4.1373
2014/2/17,0.7849,0.9319,1.7778,2.6469,0,-0.3401,0.6499,2.0298,3.9171,0.9107,0.7443,0.4622,2.0176,8.8361,0.234,5.1454,2.7096,2.6627,3.1785,1.7475,2050889281,9607541772,2178326776,910819852.8,,4116351925,1430424125,3219957000,2294855943,3988893083,37.7651,103.2822,39.1828,35.4,21.9998,73.0337,24.3457,20.8785,-58.749,35.2064,2.4506,4.1479,1.6395,2.2081,1.7582,2.6692,2.9456,4.1901,10.7056,1.3868,6.9257,3.8203,3.629,1.4919,1.7157,1.8635,3.0779,5.1604,195.457,4.175
2014/2/18,-0.9346,-0.5682,0.5459,-1.5734,-1.3216,-6.1433,-1.6949,0.5305,0,-0.9025,0.5581,0.9784,2.079,6.3396,0.1076,4.6037,2.8173,2.5093,1.9489,1.4857,2031722091,9552953466,2190217206,896488771.2,,3863470237,1406179648,3237039000,2294855943,3952892243,37.4122,102.6954,39.3967,34.843,21.7181,68.547,23.9331,20.9892,-58.749,34.8887,2.4277,4.1243,1.6484,2.1733,1.7357,2.5052,2.8957,4.2123,10.7056,1.3742,6.8609,3.7986,3.6488,1.4684,1.6938,1.749,3.0257,5.1878,195.457,4.1373
2014/2/19,0.3145,-0.7857,-0.2172,0.8437,0.8929,-2.8182,1.8062,-1.0554,-1.1086,1.4572,0.8713,0.6149,2.082,6.3261,0.3792,3.231,2.88,2.3134,1.7368,1.8644,2038111154,9477894546,2185461034,904052397.6,,3754590621,1431578624,3202875000,2269414081,4010493587,37.5298,101.8885,39.3111,35.137,21.9229,66.6152,24.3654,20.7677,-58.0977,35.3971,2.4353,4.0919,1.6448,2.1916,1.7521,2.4346,2.948,4.1679,10.5869,1.3943,6.8825,3.7687,3.6409,1.4808,1.7097,1.6997,3.0804,5.1331,193.2901,4.1976
