ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2017/5/10,10.2692,3.9041,4.89,4.9003,6.4035,3.8436,3.5135,2.8991,6.63,16.0401,6.7869,7.3192,9.5621,5.2859,24.3592,2.6172,2.0698,5.0566,1.9861,5.01,5.1418,2.5432,3.0307,2.73,6.43,5.0408,2.6146,4.5085,2.9421,2.6373,3.9777,2.52,15.9788
2017/5/11,10.0534,4.0143,4.8,4.7637,6.605,3.8063,3.4297,2.8491,6.81,16.0401,6.7655,7.535,9.1517,5.1132,24.1795,2.6172,2.0698,5.0139,1.9476,4.92,5.0073,2.4904,2.9481,2.69,5.79,5.0179,2.5661,4.8338,2.8856,2.6028,3.6731,2.52,16.0256
2017/5/12,9.8915,4.0143,4.78,4.7246,6.6325,3.7877,3.4157,2.8777,6.7,16.0401,6.8351,7.5538,8.2356,5.1228,24.2064,2.6362,2.0698,4.9968,1.9476,4.87,4.9923,2.4904,2.9572,2.69,5.71,5.1096,2.5371,4.6686,2.8856,2.6115,3.5884,2.52,15.8182
2017/5/15,9.8106,4.0051,4.74,4.7149,6.6233,3.7877,3.4436,2.942,6.66,16.0401,6.8351,7.5725,7.4817,5.1612,24.3233,2.6362,2.0698,5.0395,1.9553,4.88,5.0521,2.4992,2.9297,2.69,5.73,5.1096,2.5468,4.5035,2.9044,2.6115,3.4869,2.52,15.7446
2017/5/16,9.9994,4.1705,5.16,4.7637,6.9531,3.8716,3.4995,2.9562,6.83,16.0401,6.9047,7.7238,7.6153,5.353,24.7727,2.6267,2.0911,5.0737,1.9861,4.97,5.1194,2.5784,2.9021,2.74,5.78,5.232,2.5952,4.4585,2.9704,2.6459,3.58,2.52,16.0725
2017/5/17,10.0174,4.2899,5.18,4.793,7.0264,3.9183,3.5274,2.9491,6.98,16.0401,7.1136,7.6765,7.539,5.4682,25.3749,2.6457,2.084,5.0908,1.9938,4.95,5.1418,2.64,2.9021,2.76,5.79,5.2473,2.6146,4.7737,3.0082,2.6632,3.9354,2.52,16.1461
2017/5/18,9.9994,4.1705,5.16,4.7832,6.7424,3.881,3.5065,2.9348,6.77,16.0401,6.9583,7.7049,7.3385,5.5929,25.4289,2.6267,2.0911,5.0822,1.9861,4.95,5.0895,2.6134,2.8654,2.74,5.76,5.2779,2.5855,4.4685,3.0364,2.6976,3.8169,2.52,16.4137
2017/5/19,10.0444,4.2164,5.15,4.7832,6.8982,3.8157,3.5624,2.942,6.84,16.0401,6.9208,7.9129,7.539,5.6121,25.5637,2.6362,2.084,5.1164,2.0015,4.98,5.1044,2.64,2.9113,2.75,5.78,5.3162,2.6146,4.5085,3.0836,2.7494,3.7238,2.52,16.862
2017/5/22,10.0444,4.1062,5.13,4.7441,6.8798,3.825,3.5973,2.9348,6.79,16.0401,7.119,7.6954,8.2928,5.401,25.1412,2.6172,2.084,5.2531,1.9707,4.99,5.1194,2.6754,2.9389,2.76,5.8,5.5456,2.6339,4.6736,3.1307,2.8011,3.8423,2.52,16.0858
2017/5/23,9.7117,4.0143,4.88,4.5684,6.3943,3.7317,3.5624,2.8634,6.52,16.0401,7.0494,7.5063,8.4551,5.2955,24.6738,2.6077,2.1054,5.3641,1.9553,4.77,4.8728,2.64,2.8838,2.71,5.61,5.4998,2.5661,4.4585,3.0364,2.7494,3.6138,2.52,14.9684
2017/5/24,9.7387,4.0786,4.83,4.5489,6.4859,3.7224,3.5484,2.8491,6.57,16.0401,7.0387,7.582,8.9609,5.2955,24.9435,2.5696,2.1054,5.3129,1.9707,4.79,4.8802,2.64,2.9389,2.72,5.6,5.4692,2.5855,4.3634,3.0082,2.7752,3.8,2.52,15.129
2017/5/25,9.8466,4.1062,4.84,4.6172,6.5317,3.7877,3.6252,2.8705,6.62,16.0401,7.0601,7.9979,9.8579,5.8231,25.0244,2.5886,2.1267,5.4752,2.0092,4.9,4.94,2.6843,3.0123,2.77,5.67,5.6374,2.6339,4.3984,3.1496,2.8355,3.7746,2.52,15.1892
2017/5/26,9.8466,4.097,4.81,4.5977,6.5775,3.7783,3.6392,2.8777,6.69,16.0401,7.1083,7.9885,9.6575,5.66,25.1502,2.5886,2.1267,5.5264,2.0015,4.84,4.955,2.6666,3.0123,2.77,5.69,5.6451,2.6339,4.3284,3.1307,2.8528,3.7492,2.39,15.41
2017/5/31,9.9635,4.0786,4.75,4.6368,6.431,3.769,3.6392,2.842,6.67,16.0401,7.0708,7.894,9.3139,5.6504,24.8177,2.5696,2.1764,5.4154,2.0015,4.82,4.94,2.64,2.9205,2.76,5.67,5.538,2.6339,4.0582,3.1024,2.7924,3.6477,2.27,15.2427
