,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31
SW酒店,-0.03249626123746035,0.2304367676336101,0.3516300021074034,0.5915293006761703,0.4838807818757456,0.5641829734219165,0.5475098817181383,0.6669302337391263,0.5574173942779758,0.756306114286828,0.7562715340621213,0.5960676647787643,0.699474217330122,0.7956109257549409,0.8334915374401668,0.8553539063514597,0.7523308960272175,0.509876082278022,0.44623139164035025,0.7728263967059392,0.5651548625579895,0.46727003941741335
SW餐饮,0.16890289749428333,0.3035766979252278,0.36600484939876876,0.6077778727309365,0.7321249489012107,0.7251832760180242,0.3883978714215189,0.6254635216738389,0.7397305909079391,1.0447438990430709,0.9129611825048202,0.7117308589884291,0.5829917471372618,0.6528677995063893,0.48279103571506177,0.27016473533129526,0.3774738141192433,0.2060404068639827,0.17849135790249682,0.3726945512859682,0.23977002565084723,0.19684549778507562
SW互联网传媒,0.15387088937839252,0.3240551567632829,0.7841376252895604,1.7348785878602921,1.6389272208767405,1.6331885696958361,1.466015437422195,1.5155648767470133,1.43240795291082,1.5608654382731375,2.0578706950666223,1.9371137667886116,1.7566824932489193,1.7434232496572535,1.8285185959075887,2.0133596087645866,1.7640301874117104,1.570094784511127,1.4816752992190383,1.7002448011718485,1.7033291085607676,2.303937624433526
SW文化传媒,0.1377755259313551,0.2216432591571741,0.1589328910553709,1.1679403785603664,1.7372719901934763,1.631728835936025,1.5959629677947584,1.5086572094434727,1.5452209556352974,1.6910481922825131,1.4628586569428734,1.365106860740423,1.1654745582599353,1.3621464944053445,1.2924005902111817,1.2021049736739833,1.1240980719008928,0.9934537164351972,0.9180530189718373,1.1564798363291207,0.9012987726274424,0.9636427370275151
SW营销传播,0.12851147404042185,0.2535127007972565,0.3089835380810157,0.8560184099964474,0.6510871651109509,0.8991359056433665,0.9640079788509706,1.1914036486004345,1.1579187268679973,1.2207075766130644,0.9201555456455248,0.7670860499473958,0.7857449980924202,1.0633270412601656,1.0593379064938733,1.0379291562695512,0.9904028628900069,0.6696814151073669,0.5795566813582893,0.6332519301799608,0.446485419588902,0.44075534071938655
SW水务,0.06376063806172562,0.3176590503686199,0.5207179097154053,0.8504201196098191,0.696980680519877,0.8351708832561716,0.5359663516143054,0.7254793553815709,0.6391351736347565,0.7791067606173006,0.6427752770789787,0.5835620657885806,0.227558560787318,0.1230839524746793,-0.05822640330660232,-0.16797986812054155,-0.3349997571800041,-0.5466106833707437,-0.631222186118802,-0.48382455363601024,-0.3485863832877463,-0.37264787037731834
SW燃气,0.1165268503163654,0.33948745837455885,0.4043432128198426,0.7727419463195394,0.6433227132104907,0.723176691716979,0.5511375517728185,0.6613178616290922,0.6756868208172571,0.7218042915984356,0.6321326764246568,0.7161877900179278,0.5842994557001573,0.5871986833639451,0.32859730147406224,0.4055288062246385,0.3172096432611512,0.16325725369736935,-0.094247018717216,0.16885928926257301,0.039023393022344394,0.09448353400262832
SW环保工程及服务,0.010992225976572184,0.06671812735417969,0.19791594712949495,0.5827275452447583,0.46072014574658476,0.7722753416607067,0.40667358325869923,0.4741957573448644,0.6741667925784798,0.7670775380846876,0.8293817914475183,1.0022349689425287,0.7750167777885769,0.8937231820278159,0.5596316725716323,0.42954060343646494,0.07896658111932559,-0.19755836072639837,-0.26221367809908674,-0.12205255730744988,-0.4588930058814823,-0.4848387065074315
SW电力,0.16071975300296382,0.35149770159773286,0.5544495846154174,1.1539923355597375,1.0045046377502864,0.9843303887521959,0.677169865488247,0.8934223350826292,0.9415728856690393,0.9310934526479352,0.7622317451379165,0.5760123959458328,0.4140688282366176,0.957438382509379,1.0661768998163161,0.8606284120400395,0.7987735957887953,0.424605727423546,0.32230375889780605,0.3623604607179422,0.2800448788415433,0.30753429565012547
SW农产品加工,0.10760498504691995,0.3374338694168758,0.4536599602791351,0.8558672339409636,1.0365532156788295,0.9903704278716121,0.819326156768337,0.8273201610299736,0.8418244086799725,0.7865368383752389,1.050642319602686,1.0146636162586828,0.7516183028502601,0.79707936011697,0.590692509046978,0.5182188679801203,-0.1322642819079175,-0.47474440278744373,-0.4665702649825665,-0.13187834519202113,-0.1680126402787316,-0.24747133334309662
SW动物保健,0.14033635207917097,0.2631633325206813,0.30413881210384075,0.6251401780099151,0.6526582887700534,0.7118860539263185,0.5815686643199003,0.8541968795402454,0.9563983815313846,0.9811332241874735,0.8283822633432101,0.8542538660583353,0.781905734744743,0.9325708206416696,0.8004298159150668,0.6673072290226237,0.5154443748656948,0.595888199906878,0.5500350355045344,0.6530729512823544,0.40528273567238504,0.5496118270611385
SW渔业,0.12778945044094614,0.38151677890253227,0.40276748227154585,0.7841531867773242,0.8952449470506174,0.9792951040336958,0.9360468265944817,1.1376634793419622,1.1023391216984364,1.3971902453435139,1.2916284313351205,1.0059107889353638,0.93537955700746,1.0155511993695379,0.9666592237171847,0.8945720853222795,0.5752258227629039,0.31191472619259314,0.27312176168474,0.49884514535829727,0.20391755545641604,0.13843913144827139
SW畜禽养殖,0.3423911306452809,0.4821631807414093,0.7520603506423635,1.0009345693167584,1.3740504118969992,1.4471022892988068,1.5413267389142071,1.813684181682263,2.007339420343669,1.8940150225314827,1.826064042461094,1.6954139669353592,1.6812408183148237,1.6874889791575642,1.8321984021882676,1.6376948328876169,1.9333329762375409,1.7433781618318593,1.7289913869222937,2.1193123171219908,2.2407580479411537,2.2204195041140395
SW种植业,0.0357110015838672,0.27615953604478394,0.4432889098996342,0.6438794022193632,0.713006185084527,0.5830184529708589,0.4750452335327945,0.8483645452116424,0.72272443490626,0.8046169171365107,0.8065070412795207,0.5642755980378847,0.5256769315960556,0.5092967450816863,0.37084038515947354,0.25433526850429555,0.2542329440895365,-0.06253253011469856,-0.2574235754737348,-0.09938618340822045,0.12990460149039468,0.12356864625770267
SW饲料,0.15794493204702598,0.26186240122502796,0.37421447855460993,0.6996739652682231,0.8348642342675924,0.795274072159084,0.9707869058528391,1.2737192193993105,1.1923281637206906,1.115308555288166,1.1271667995755226,1.1259093426843183,1.0691428819643576,1.118921964608663,1.082831090605375,1.0677107297299315,1.059751857302285,0.7877344606133105,0.8158468690642333,1.685818115952605,1.5615523759360115,1.3837762184340565
SW化学制品,0.2422784399176604,0.3900697111556133,0.7295518171402844,1.369641943574592,2.554959006635885,2.575084100256615,2.816282887426425,3.1080211620412217,3.70628111155239,3.8081439245734274,3.5126437013537264,3.7733046005043422,3.413603487990597,3.724286967583379,4.244372211537806,4.354866205643058,4.53096490606513,4.101420575795329,3.904314267737491,4.168860706181998,3.959429355666789,4.099510149180831
SW化学原料,0.18788510484547938,0.30010987114095,0.2431479533084192,0.7097891836079158,0.8749317642996677,0.6373115964140347,0.3723944024515539,0.6026755589267629,0.6680859920211116,0.8483052040891091,0.6431115895414397,0.540341865008621,0.44958167087255396,0.6205061208666283,0.5049621593655929,0.2916541866965603,0.1489147743812018,-0.1842915115030884,-0.22747040799714496,0.06071679814543057,-0.006533741769514087,-0.007719991992394597
SW化学纤维,0.2686347343967273,0.5105570700151572,0.7211167213466668,1.0613881177521785,1.0618004532255407,0.8686806468868553,0.8297650313487602,0.8260204195821412,0.6879986258268884,0.7392870546762557,0.7809321690833525,0.6692059602848404,0.6444021234270068,0.5666503756369395,0.5246919611535855,0.5397657528612444,0.5302742462982732,0.33218112590815685,0.17920075514448597,0.3788051157854677,0.2973640871515846,0.311422640891939
SW塑料,0.38489691657122554,0.4706945417008971,0.5447964275263396,0.901542006113022,0.6842151648010617,0.7037634043681915,0.5743900357138803,0.5829469796000553,0.7298852021536523,0.6654429578454869,0.3900491944016529,0.5928671448425932,0.42219986918784647,0.5914901388447578,0.3958935607277525,0.5733842717966152,0.5402611032004346,0.34078658675751206,-0.2007090854021112,0.1895641439757197,-0.0037782595815446796,-0.13837235672423834
SW橡胶,0.23398704551883412,0.48484627245068235,0.4900529921456069,0.854753852727096,0.6950927960164749,0.8267743621608943,0.7423783869931626,0.9520504848750576,1.154356736968987,1.1266555847658615,1.014858554941584,0.9241360796951066,0.8358445695597311,0.8205013654888607,0.5375669384918365,0.5255102326946912,0.6433327898940017,0.30226329358369414,0.04547323960228822,0.28176933113768754,0.26273514913347423,0.25861476414761353
SW石油化工,0.20975724664601936,0.29506172104501494,0.2955359806648344,0.7595282419791213,0.5993156341752598,0.5022051353566884,0.32634903492821166,0.48832737249551605,0.6488472291131483,0.7119266693027063,0.6215597531691133,0.5176712011663975,0.34692213180386433,0.2418411627989182,0.17818223394014626,0.075011584254147,0.0967385615330089,-0.03401850343460365,-0.09325153811065329,0.19297887354420296,-0.024502776316976255,-0.0999597866558518
