ÈÕÆÚ,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH
2014/1/30,-1,2.7397,-0.2161,-1.7857,-0.1736,-0.8176,0,,-0.3559,-2.172,-3.4985,,1.3436,1.2799,0.5442,1.4777,0.2238,0.3153,,,0.2143,0.9146,2.7752,,2375663242,5518613064,1795870194,5991901215,2098044130,16579239222,721548193.8,,2375663242,14733498560,15259092784,,105.5672,76.9407,482.65,230.9422,-41.807,26.4944,25.3822,,58.6884,9.308,29.8153,,1.1684,3.918,3.6336,6.2444,1.483,4.4029,2.4811,,0.6496,1.49,1.088,,0.2383,2.2336,1.6009,4.0326,0.843,2.4863,2.3457,,0.1325,0.5173,0.2595,
2014/2/7,4.0404,5.5,-1.2274,1.7316,1.2174,1.5853,0,,0.3571,2.6643,9.9698,,2.5334,2.1012,0.5153,1.4888,0.4051,0.3571,,,0.3422,0.9353,5.3209,,2471649635,5822136783,1773827022,6095657081,2123585537,16842067998,721548193.8,,2471649635,15126042926,16780392065,,109.8325,81.1724,476.7258,234.9412,-42.316,26.9145,25.3822,,58.9789,9.556,32.7878,,1.2156,4.1335,3.589,6.3525,1.5011,4.4727,2.4811,,0.6528,1.5297,1.1964,,0.2479,2.3565,1.5813,4.1025,0.8533,2.5257,2.3457,,0.1331,0.5311,0.2854,
2014/2/10,0.7282,2.6856,4.5322,7.0638,2.0619,2.9963,0,,0.7117,1.5571,2.7473,,2.9448,2.9647,1.2707,4.4174,0.6216,0.8357,,,0.4227,1.8617,7.0108,,2489647084,5978497486,1854219767,6526243921,2167370806,17346699249,721548193.8,,2489647084,15361569546,17241391847,,110.6323,83.3524,498.3318,251.537,-43.1885,27.7209,25.3822,,59.3987,9.7048,33.6885,,1.2245,4.2445,3.7517,6.8012,1.532,4.6067,2.4811,,0.6574,1.5535,1.2293,,0.2497,2.4198,1.653,4.3923,0.8709,2.6014,2.3457,,0.1341,0.5394,0.2932,
2014/2/11,-0.241,3.1538,3.3566,-1.4308,-0.3367,-6.5455,0,,-0.7067,-0.1704,1.3369,,2.2622,2.2409,1.869,3.9233,0.6214,1.1174,,,0.2848,1.3022,4.8122,,2483647934,6167050099,1916459312,6432863642,2160073261,16211278935,721548193.8,,2483647934,15335399922,17471891738,,110.3657,85.9812,515.059,247.9379,-43.043,25.9064,25.3822,,58.9729,9.6883,34.1389,,1.2215,4.3784,3.8776,6.7039,1.5269,4.3052,2.4811,,0.6527,1.5509,1.2458,,0.2491,2.4961,1.7084,4.3294,0.868,2.4311,2.3457,,0.1331,0.5385,0.2972,
2014/2/12,0.4831,0.9694,-0.5413,2.5806,0.8446,-2.8534,0,,-0.3559,-0.5119,-1.3193,,2.3608,2.5143,0.5947,3.0703,0.7126,1.1295,,,0.3903,1.0384,3.5163,,2495646234,6226835074,1906086055,6598873027,2178317123,15748700288,721548193.8,,2495646234,15256891049,17241391847,,110.8989,86.8148,512.2711,254.3363,-43.4066,25.1672,25.3822,,58.7795,9.6387,33.6885,,1.2274,4.4209,3.8566,6.8769,1.5398,4.1824,2.4811,,0.6506,1.543,1.2293,,0.2503,2.5203,1.6992,4.4411,0.8753,2.3617,2.3457,,0.1327,0.5357,0.2932,
2014/2/13,0.2404,-5.8346,-2.2449,6.0535,-1.8425,-1.2016,0,,0.7143,-2.2298,-1.8717,,3.5104,2.4556,0.6938,7.9869,0.7777,0.879,,,0.6103,1.2948,4.3523,,2501645383,5863526381,1863296368,6998333108,2138180626,15559463569,721548193.8,,2501645383,14916685931,16918691999,,111.1655,81.7495,500.7712,269.7325,-42.6068,24.8648,25.3822,,59.2204,9.4238,33.058,,1.2304,4.1629,3.77,7.2932,1.5114,4.1321,2.4811,,0.6555,1.5086,1.2063,,0.2509,2.3732,1.6611,4.71,0.8592,2.3334,2.3457,,0.1337,0.5238,0.2878,
2014/2/14,5.5156,10.0392,2.9923,0.8154,2.2184,2.027,0,,2.4823,0.0877,0.545,,5.6359,4.0014,1.1219,5.6319,0.8216,0.4721,,,1.3547,1.1167,2.5108,,2639625824,6452178441,1919052626,7055398834,2185614668,15874858101,721548193.8,,2639625824,14929770743,17010891956,,117.2969,89.9565,515.756,271.9319,-43.552,25.3688,25.3822,,60.6619,9.432,33.2382,,1.2983,4.5808,3.8828,7.3527,1.5449,4.2159,2.4811,,0.6714,1.5099,1.2129,,0.2648,2.6115,1.7108,4.7484,0.8782,2.3807,2.3457,,0.1369,0.5242,0.2893,
2014/2/17,1.1364,6.201,0.7432,2.1324,2.0033,0.9934,0,,0.692,4.2945,5.6911,,4.5927,4.9689,1.2015,6.1085,1.7187,0.5771,,,0.9902,2.3008,6.7559,,2669621572,6852277888,1933315855,7205844838,2229399936,16032555367,721548193.8,,2669621572,15570926542,17978991498,,118.6298,95.5347,519.5893,277.7304,-44.4245,25.6208,25.3822,,61.0693,9.8371,35.1298,,1.313,4.8649,3.9117,7.5094,1.5759,4.2577,2.4811,,0.6759,1.5747,1.2819,,0.2678,2.7734,1.7235,4.8496,0.8958,2.4043,2.3457,,0.1379,0.5467,0.3058,
2014/2/18,-1.573,0.8054,-1.006,-1.7279,-0.982,-3.541,0,,-0.6873,-1.2605,0.2564,,3.2143,2.6257,0.6044,5.72,1.4672,0.9103,,,0.6576,1.6715,4.3141,,2627627525,6907464018,1913865998,7081337800,2207507302,15464845209,721548193.8,,2627627525,15374654359,18025091476,,116.7637,96.3041,514.362,272.9317,-43.9882,24.7136,25.3822,,60.675,9.7131,35.2198,,1.2924,4.9041,3.8723,7.3797,1.5604,4.107,2.4811,,0.6716,1.5549,1.2852,,0.2636,2.7958,1.7061,4.7658,0.887,2.3192,2.3457,,0.137,0.5398,0.3066,
2014/2/19,5.7078,0.1332,10.0271,-1.685,-0.1653,2.9912,0,,3.8062,0.9362,0,,8.5205,1.5412,2.9458,4.5541,1.0071,1.03,,,1.9617,1.6956,3.0766,,2777606265,6916661707,2105771260,6962018555,2203858530,15927423856,721548193.8,,2777606265,15518587293,18025091476,,123.4283,96.4324,565.9376,268.3328,-43.9155,25.4528,25.3822,,63.0156,9.804,35.2198,,1.3661,4.9106,4.2606,7.2553,1.5578,4.2298,2.4811,,0.6975,1.5694,1.2852,,0.2786,2.7995,1.8772,4.6855,0.8856,2.3885,2.3457,,0.1423,0.5449,0.3066,
