ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH
2014/3/27,0.5128,0.2899,-0.6961,-0.9091,0.3488,0.4449,0.3843,0.2187,6631572611,7958000000,14040236937,4219967700,13.203,8.892,13.2109,9.5907,0.8512,1.0297,1.4601,1.6535,2.6044,1.5479,4.7443,3.3648
2014/3/28,0.2551,1.3006,1.0903,-0.6351,0.3136,0.5198,0.4853,0.2722,6648489889,8061500000,14193323633,4193164800,13.2367,9.0077,13.355,9.5298,0.8533,1.0431,1.4761,1.643,2.611,1.568,4.796,3.3435
2014/3/31,-2.2901,0,-3.1587,-1.0653,0.2339,0.2598,0.398,0.1756,6496234395,8061500000,13744998310,4148493300,12.9335,9.0077,12.9331,9.4282,0.8338,1.0431,1.4294,1.6255,2.5512,1.568,4.6445,3.3078
2014/4/1,1.3021,-0.428,0,1.6511,0.151,0.3183,0.3324,0.1287,6580820780,8027000000,13744998310,4216989600,13.1019,8.9691,12.9331,9.5839,0.8446,1.0387,1.4294,1.6523,2.5844,1.5613,4.6445,3.3625
2014/4/2,0.5141,0.5731,0.0796,0.2825,0.2896,0.2287,0.2315,0.163,6614655334,8073000000,13755933074,4228902000,13.1693,9.0205,12.9434,9.611,0.849,1.0446,1.4306,1.657,2.5977,1.5702,4.6482,3.372
2014/4/3,-0.7673,-0.9972,-0.5564,1.831,0.2187,0.2899,0.4661,0.4573,6563903503,7992500000,13679389726,4306332600,13.0683,8.9306,12.8714,9.787,0.8425,1.0342,1.4226,1.6873,2.5778,1.5546,4.6224,3.4337
2014/4/4,0.5155,0.4317,0.2398,0.0692,0.121,0.2292,0.2659,0.2416,6597738057,8027000000,13712194018,4309310700,13.1356,8.9691,12.9023,9.7937,0.8468,1.0387,1.426,1.6885,2.5911,1.5613,4.6335,3.4361
2014/4/8,0.7692,1.0029,1.5949,0.7602,0.5273,0.3974,0.4681,0.2629,6648489889,8107500000,13930889298,4342069800,13.2367,9.0591,13.108,9.8682,0.8533,1.0491,1.4488,1.7013,2.611,1.5769,4.7074,3.4622
2014/4/9,-0.2545,-0.4255,0.6279,-0.8916,0.241,0.3296,0.4644,0.4355,6631572611,8073000000,14018367410,4303354500,13.203,9.0205,13.1903,9.7802,0.8512,1.0446,1.4579,1.6862,2.6044,1.5702,4.7369,3.4313
2014/4/10,0.5102,0.8547,1.4821,0.9689,0.4172,0.4642,0.7388,0.4205,6665407166,8142000000,14226127925,4345047900,13.2703,9.0976,13.3858,9.875,0.8555,1.0536,1.4795,1.7025,2.6176,1.5836,4.8071,3.4646
