ÈÕÆÚ,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH
2014/5/5,0,0.1953,-0.4505,0,,0.4987,0.1877,0.4998,4617177628,6697327214,98566827585,14300159610,1340.8574,15.8919,7.7663,14.0688,34.4566,1.5419,1.2789,0.6725,449.1079,1.5646,1.9198,1.1342
2014/5/6,0,-0.1949,0.1508,0,,0.4141,0.1182,0.2891,4617177628,6684271995,98715495500,14300159610,1340.8574,15.861,7.7781,14.0688,34.4566,1.5389,1.2808,0.6725,449.1079,1.5615,1.9227,1.1342
2014/5/7,0,-0.1953,0.6024,0.3953,,0.6564,0.1387,0.4333,4617177628,6671216776,99310167160,14356681980,1340.8574,15.83,7.8249,14.1244,34.4566,1.5359,1.2885,0.6751,449.1079,1.5585,1.9343,1.1387
2014/5/8,0,-0.3914,0.1497,-0.3937,,0.4335,0.0947,0.3569,4617177628,6645106339,99458835075,14300159610,1340.8574,15.768,7.8366,14.0688,34.4566,1.5299,1.2904,0.6725,449.1079,1.5524,1.9372,1.1342
2014/5/9,0,-0.1965,0.1495,0.3953,,0.384,0.0801,0.2213,4617177628,6632051120,99607502990,14356681980,1340.8574,15.7371,7.8483,14.1244,34.4566,1.5269,1.2924,0.6751,449.1079,1.5493,1.9401,1.1387
2014/5/12,0,2.1654,1.6418,1.9685,,0.8712,0.1558,0.5455,4617177628,6775658526,1.01243E+11,14639293830,1340.8574,16.0778,7.9772,14.4024,34.4566,1.56,1.3136,0.6884,449.1079,1.5829,1.9719,1.1611
2014/5/13,0,0,-0.8811,-0.7722,,0.4489,0.1075,0.2144,4617177628,6775658526,1.00351E+11,14526249090,1340.8574,16.0778,7.9069,14.2912,34.4566,1.56,1.302,0.6831,449.1079,1.5829,1.9545,1.1521
2014/5/14,0,-0.7707,0,0,,0.3585,0.0718,0.1511,4617177628,6723437651,1.00351E+11,14526249090,1340.8574,15.9539,7.9069,14.2912,34.4566,1.5479,1.302,0.6831,449.1079,1.5707,1.9545,1.1521
2014/5/15,0,-0.9709,-0.2963,-2.7237,,0.4556,0.0856,0.5476,4617177628,6658161557,1.00054E+11,14130592500,1340.8574,15.799,7.8835,13.9019,34.4566,1.5329,1.2982,0.6645,449.1079,1.5554,1.9487,1.1208
2014/5/16,0,-0.7843,0.1486,-0.8,,0.3395,0.0856,0.4856,4617177628,6605940682,1.00202E+11,14017547760,1340.8574,15.6751,7.8952,13.7907,34.4566,1.5209,1.3001,0.6592,449.1079,1.5432,1.9516,1.1118
