ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/3/14,48.0373,3.3,11.0251,8.2642,3.82,18.4987,5.006,,,,,40.4554,9.8161,6.4255,10.9938,19.5519,5.8443,6.2855,8.6569,15.1698,12.0872,,,,,,0.7041
2014/3/17,48.0664,3.3471,11.1537,8.557,3.86,18.3832,5.1437,,,,,40.5404,10.1304,6.522,11.033,20.5154,5.9968,6.4395,8.793,15.3932,12.25,,,,,,0.7012
2014/3/18,49.3545,3.3903,11.0646,8.4727,3.86,17.6132,5.1384,,,,,40.8429,10.1395,6.5799,11.2096,20.5437,5.9968,6.3942,8.8514,15.8205,12.3765,,,,,,0.706
2014/3/19,48.4247,3.3314,10.9954,8.5769,3.88,16.6796,5.0925,,,,,40.9752,10.1942,6.6377,11.0232,20.2887,6.035,6.521,8.9,16.3449,12.0601,,,,,,0.7041
2014/3/20,46.2262,3.1821,10.7084,8.5868,3.79,16.2465,4.9943,,,,,41.5896,10.0621,6.4448,10.4348,19.9675,5.8634,6.3398,8.4818,16.209,11.7979,,,,,,0.6954
2014/3/21,46.294,3.2175,10.9162,8.8002,3.9,16.1791,5.0178,,,,,41.5896,10.4903,6.686,10.5525,20.3265,5.9778,6.4214,9.1432,16.5586,12.0782,,,,,,0.6993
2014/3/24,45.3449,3.2528,10.9954,8.974,3.95,16.3043,5.0135,,,,,41.7692,10.9276,6.7632,10.7682,20.6193,5.9015,6.5119,9.1043,16.5586,12.1324,,,,,,0.707
2014/3/25,45.3739,3.2332,11.0251,9.0286,3.95,15.977,4.9794,,,,,42.0433,10.6497,6.6956,11.0821,20.232,5.8348,6.4576,9.0751,16.3449,12.3765,,,,,,0.7079
2014/3/26,46.3328,3.2803,11.1042,8.4875,3.94,16.0252,5.0231,,,,,41.5896,10.7363,6.686,11.0036,20.2887,6.0541,6.4938,9.2891,16.782,12.3133,,,,,,0.7079
2014/3/27,44.7735,3.1586,11.0053,8.3833,3.89,16.0636,4.8897,,,,,40.1529,10.3901,6.7246,11.1998,19.7692,6.1399,6.6206,9.3864,16.3935,11.9878,,,,,,0.7137
2014/3/28,42.1295,3.2214,10.6886,7.6686,3.85,16.1406,4.6944,,,,,36.7218,10.1304,6.6474,11.8667,19.7881,5.911,6.4576,9.6685,15.5389,12.024,,,,,,0.7204
2014/3/31,42.6137,3.1625,10.8766,7.6487,3.79,16.7374,4.704,,,,,36.7501,10.1669,6.8596,10.68,19.2591,5.9301,6.3217,8.7055,15.5389,11.9516,,,,,,0.6974
2014/4/1,42.4975,3.1664,10.8469,7.8969,3.85,16.9202,4.7798,,,,,36.3437,10.2762,6.85,10.6506,19.4953,6.0636,6.3851,8.7833,15.5389,12.0511,,,,,,0.7041
2014/4/2,42.3135,3.1232,10.8865,7.5941,3.85,16.8914,4.6677,,,,,36.6556,10.3217,6.7632,10.5819,19.2969,6.0636,6.3851,8.686,14.5191,11.9245,,,,,,0.7031
2014/4/3,42.3716,3.1114,10.8766,7.6487,3.82,16.9587,4.7574,,,,,36.3909,10.2899,6.8114,10.4838,19.6086,5.8824,6.3398,8.5888,14.5386,11.8522,,,,,,0.7012
